"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","3","10","6","2","4","5","7","8","11","12","1","9","square"
"1",323191169,1,9,441,49,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"2",323227145,1,3,15,5,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"3",323227148,1,3,270,90,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"4",323263285,1,5,75,15,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"5",323299425,12,26,10530,105.3,8,0,1,3,2,1,1,2,1,1,0,0,0,"r3c1"
"6",323335561,4,14,1764,60.8275862068966,3,0,0,0,0,1,0,2,0,0,1,0,0,"r3c1"
"7",323371702,164,45,141398,90.2348436502872,12,4,23,34,10,14,11,26,9,16,12,2,3,"r3c1"
"8",323371703,5,15,1614,41.3846153846154,3,0,0,2,0,0,0,1,0,2,0,0,0,"r3c1"
"9",323371704,2,7,480,40,2,0,0,0,0,1,1,0,0,0,0,0,0,"r3c1"
"10",323444018,1,1,23,23,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c1"
"11",323516257,1,3,60,20,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"12",323552391,1,6,90,15,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"13",323552396,1,7,133,19,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"14",323588535,1,5,80,16,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"15",323624674,1,8,240,30,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"16",323660812,1,3,18,6,1,0,0,0,0,0,1,0,0,0,0,0,0,"r3c1"
"17",323733164,1,2,120,60,1,0,0,0,0,0,1,0,0,0,0,0,0,"r3c1"
"18",323769229,1,3,60,15,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"19",323769236,1,13,1170,90,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"20",323769242,2,8,780,60,2,0,0,0,0,0,0,1,1,0,0,0,0,"r3c1"
"21",323769294,13,18,11990,86.8840579710145,6,0,1,0,1,1,0,8,1,0,0,0,1,"r3c1"
"22",323877646,1,6,24,4,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"23",323877664,1,2,90,45,1,0,0,0,0,0,0,0,0,0,0,0,1,"r3c1"
"24",323877707,1,13,975,75,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"25",323877708,70,42,63624,90.2468085106383,11,6,13,5,3,6,0,12,9,3,3,4,6,"r3c1"
"26",323877721,1,14,14,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"27",323913845,1,7,35,5,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"28",323913846,11,32,9664,80.5333333333333,8,2,2,2,1,0,1,1,0,0,0,1,1,"r3c1"
"29",323949927,1,9,810,90,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"30",323949928,43,41,17021,52.2116564417178,8,10,1,1,2,13,2,0,12,0,0,0,2,"r3c1"
"31",323949981,10,38,6096,61.5757575757576,6,1,1,0,0,3,0,0,0,1,3,1,0,"r3c1"
"32",323949984,8,11,4095,68.25,2,0,5,0,0,0,0,0,0,0,0,3,0,"r3c1"
"33",323986065,6,14,901,25.7428571428571,4,1,0,0,0,2,0,0,1,0,0,0,2,"r3c1"
"34",323986066,3,6,130,9.28571428571429,1,0,0,0,0,0,0,0,0,0,3,0,0,"r3c1"
"35",324016880,1,8,80,10,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"36",324022203,4,20,2940,71.7073170731707,1,4,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"37",324022204,1,14,1498,107,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"38",324022268,1,7,21,3,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"39",324058341,1,4,60,15,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"40",324058342,69,41,15109,34.4954337899543,6,35,0,4,8,9,0,0,0,0,12,0,1,"r3c1"
"41",324058394,3,23,4873,110.75,2,0,0,2,0,0,0,0,0,0,1,0,0,"r3c1"
"42",324058395,222,60,486057,130.942079741379,12,26,29,20,16,18,10,28,12,16,12,18,17,"r3c1"
"43",324058396,1,7,840,120,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"44",324058423,1,19,2280,120,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"45",324094477,5,5,375,15,1,0,0,5,0,0,0,0,0,0,0,0,0,"r3c1"
"46",324094480,10,17,19578,143.955882352941,2,1,0,0,0,0,0,9,0,0,0,0,0,"r3c1"
"47",324094482,2,13,639,37.5882352941176,2,0,0,0,0,0,1,1,0,0,0,0,0,"r3c1"
"48",324094485,1,8,160,20,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"49",324130610,1,16,960,60,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"50",324130612,346,65,521395,122.450681070925,12,21,31,62,33,18,28,48,21,29,19,17,19,"r3c1"
"51",324130618,5,17,9500,100,1,0,0,5,0,0,0,0,0,0,0,0,0,"r3c1"
"52",324130619,281,62,279913,99.2247429989365,12,14,17,66,27,16,30,43,12,19,13,14,10,"r3c1"
"53",324130620,6,21,3291,70.0212765957447,3,0,0,3,2,0,0,1,0,0,0,0,0,"r3c1"
"54",324130672,1,5,450,90,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"55",324130685,24,43,26644,114.844827586207,9,3,2,4,5,0,0,2,2,3,0,1,2,"r3c1"
"56",324130686,2,11,3960,180,1,0,0,0,0,0,0,0,0,0,0,0,2,"r3c1"
"57",324166749,1,19,2280,120,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"58",324166750,10,21,6129,86.3239436619718,5,0,1,0,3,1,2,3,0,0,0,0,0,"r3c1"
