"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","4","5","6","7","8","9","10","11","12","1","2","3","square"
"1",323299425,1,5,300,60,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"2",323371702,35,10,5336,95.2857142857143,9,2,2,9,3,3,1,3,7,5,0,0,0,"r3c1"
"3",323769294,9,1,830,92.2222222222222,2,0,0,0,8,1,0,0,0,0,0,0,0,"r3c1"
"4",323877664,1,1,45,45,1,0,0,0,0,0,1,0,0,0,0,0,0,"r3c1"
"5",323877707,1,2,150,75,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"6",323877708,36,12,13158,109.65,11,3,0,1,10,4,5,6,1,2,1,1,2,"r3c1"
"7",323877721,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"8",323913846,11,7,2786,77.3888888888889,8,0,1,2,1,0,1,2,0,0,1,1,2,"r3c1"
"9",323949927,1,4,360,90,1,0,0,0,0,0,0,0,0,0,0,0,1,"r3c1"
"10",323949928,36,10,6817,46.0608108108108,7,13,0,1,0,8,1,1,0,0,0,2,10,"r3c1"
"11",323949981,8,9,1332,63.4285714285714,5,3,0,0,0,0,0,1,1,2,0,0,1,"r3c1"
"12",323949984,5,2,610,61,1,0,0,0,0,0,0,5,0,0,0,0,0,"r3c1"
"13",323986065,6,7,622,23.9230769230769,4,2,0,0,0,1,2,0,0,0,0,0,1,"r3c1"
"14",323986066,3,5,115,8.84615384615385,1,0,0,0,0,0,0,0,0,3,0,0,0,"r3c1"
"15",324022203,3,5,720,80,1,0,0,0,0,0,0,0,0,0,0,0,3,"r3c1"
"16",324022204,1,4,428,107,1,0,0,0,0,0,0,0,0,0,0,0,1,"r3c1"
"17",324022268,1,5,15,3,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"18",324058342,63,10,7294,32.2743362831858,6,9,0,4,0,0,1,0,0,10,0,7,32,"r3c1"
"19",324058394,3,5,1067,106.7,2,0,0,2,0,0,0,0,0,1,0,0,0,"r3c1"
"20",324058395,211,17,112731,132.31338028169,12,18,10,18,26,12,17,27,16,12,17,16,22,"r3c1"
"21",324058396,1,2,240,120,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"22",324058423,1,5,600,120,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"23",324094480,10,7,9729,147.409090909091,2,0,0,0,9,0,0,0,0,0,0,0,1,"r3c1"
"24",324094482,2,7,441,40.0909090909091,2,0,1,0,1,0,0,0,0,0,0,0,0,"r3c1"
"25",324094485,1,7,140,20,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"26",324130610,1,3,180,60,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"27",324130612,306,13,82970,126.094224924012,12,14,27,52,44,20,14,27,27,14,14,32,21,"r3c1"
"28",324130618,5,5,2500,100,1,0,0,5,0,0,0,0,0,0,0,0,0,"r3c1"
"29",324130619,230,15,87145,109.47864321608,12,14,25,53,40,10,8,11,13,9,12,21,14,"r3c1"
"30",324130620,6,9,1660,83,3,0,0,3,1,0,0,0,0,0,0,2,0,"r3c1"
"31",324130672,1,1,90,90,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"32",324130685,16,10,4988,121.658536585366,8,0,0,4,1,1,1,1,3,0,0,2,3,"r3c1"
"33",324130686,2,1,360,180,1,0,0,0,0,0,2,0,0,0,0,0,0,"r3c1"
"34",324166749,1,3,360,120,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"35",324166750,4,3,1092,121.333333333333,3,0,2,0,1,0,0,1,0,0,0,0,0,"r3c1"
"36",324166751,12,3,1372,105.538461538462,3,0,0,10,0,1,0,0,0,0,0,1,0,"r3c1"
"37",324166757,7,3,987,47,1,0,0,0,7,0,0,0,0,0,0,0,0,"r3c1"
"38",324166759,1,4,80,20,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"39",324202948,1,2,120,60,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"40",324202976,2,2,150,75,2,0,0,0,1,0,1,0,0,0,0,0,0,"r3c1"
"41",324202977,118,8,21161,116.911602209945,12,5,5,32,6,15,4,9,11,5,7,14,5,"r3c1"
"42",324202978,9,4,545,54.5,5,0,0,0,2,1,0,0,1,0,1,4,0,"r3c1"
"43",324239030,5,6,1410,117.5,3,0,3,0,1,0,0,0,0,1,0,0,0,"r3c1"
"44",324239035,1,4,36,9,1,0,0,0,0,0,1,0,0,0,0,0,0,"r3c1"
"45",324239114,70,9,12806,118.574074074074,12,2,4,5,11,19,5,7,5,2,5,2,3,"r3c1"
"46",324239115,7,3,1102,84.7692307692308,3,0,1,5,0,0,0,0,1,0,0,0,0,"r3c1"
"47",324347501,9,7,3440,101.176470588235,6,0,1,0,0,1,2,3,1,0,0,1,0,"r3c1"
"48",324347516,1,1,90,90,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"49",324419776,1,6,210,35,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"50",324455940,1,1,90,90,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"51",324455942,1,1,30,30,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"52",324528216,84,10,12271,95.8671875,12,9,7,7,3,8,6,22,7,3,6,4,2,"r3c1"
"53",324564262,14,11,3927,112.2,7,0,1,5,2,0,1,3,1,0,1,0,0,"r3c1"
"54",324600428,143,17,78171,100.476863753213,12,8,11,12,27,7,9,16,14,12,4,15,8,"r3c1"
"55",324600522,209,13,65773,127.714563106796,12,8,18,39,42,12,9,19,14,6,10,13,19,"r3c1"
"56",324600523,1,1,83,83,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"57",324636565,115,15,74373,121.524509803922,12,8,13,21,11,9,7,12,7,6,4,8,9,"r3c1"
"58",324636566,5,8,2646,110.25,3,0,1,1,0,0,0,0,0,0,0,3,0,"r3c1"
"59",324636618,236,14,84847,93.8573008849557,12,13,14,33,34,17,17,37,17,9,8,20,17,"r3c1"
"60",324636625,1,4,480,120,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"61",324636660,125,13,28337,111.562992125984,12,4,10,25,5,15,6,24,17,2,3,8,6,"r3c1"
"62",324636661,1,3,360,120,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
