"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","3","1","2","11","square"
"1",517455706,1,8,90,10,1,1,0,0,0,"r4c1"
"2",518105190,1,10,40,4,1,1,0,0,0,"r4c1"
"3",518177354,1,8,88,11,1,1,0,0,0,"r4c1"
"4",518249520,1,9,90,10,1,1,0,0,0,"r4c1"
"5",518357767,1,9,90,10,1,1,0,0,0,"r4c1"
"6",518466014,1,11,110,10,1,1,0,0,0,"r4c1"
"7",518538179,1,11,110,10,1,1,0,0,0,"r4c1"
"8",600201180,1,2,68,34,1,0,1,0,0,"r4c1"
"9",600634173,1,1,4,4,1,0,1,0,0,"r4c1"
"10",601824969,1,4,20,5,1,0,0,1,0,"r4c1"
"11",602654824,1,1,9,9,1,0,0,1,0,"r4c1"
"12",636283710,1,1,5,5,1,0,0,0,1,"r4c1"
