"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",132035619,1,7,413,59,1,"r2c2ABA"
"2",132035624,1,8,480,60,1,"r2c2ABA"
"3",132035654,2,17,224,11.2,1,"r2c2ABA"
"4",132035656,1,7,840,120,1,"r2c2ABA"
"5",132035665,1,22,66,3,1,"r2c2ABA"
"6",132035670,2,23,3368,134.72,1,"r2c2ABA"
"7",132035673,3,43,2952,39.8918918918919,1,"r2c2ABA"
"8",132035687,18,35,3508,28.520325203252,3,"r2c2ABA"
"9",132035724,7,17,709,19.6944444444444,1,"r2c2ABA"
"10",132035732,3,26,1450,46.7741935483871,1,"r2c2ABA"
"11",132035799,1,10,460,46,1,"r2c2ABA"
"12",132035846,1,19,1843,97,1,"r2c2ABA"
"13",132035914,1,20,1520,76,1,"r2c2ABA"
"14",132035922,1,1,3,3,1,"r2c2ABA"
"15",132035936,1,41,6683,163,1,"r2c2ABA"
"16",132035938,1,32,1472,46,1,"r2c2ABA"
"17",132035946,3,42,7151,105.161764705882,2,"r2c2ABA"
"18",132035955,1,15,75,5,1,"r2c2ABA"
"19",132035960,2,33,205,5,1,"r2c2ABA"
"20",132035963,1,11,55,5,1,"r2c2ABA"
"21",132035967,2,30,1095,25.4651162790698,1,"r2c2ABA"
"22",132035977,1,1,4,4,1,"r2c2ABA"
"23",132071701,5,37,3271,58.4107142857143,1,"r2c2ABA"
"24",132071702,2,25,3272,105.548387096774,2,"r2c2ABA"
"25",132071703,3,32,4001,86.9782608695652,2,"r2c2ABA"
"26",132071705,45,70,18204,45.51,3,"r2c2ABA"
"27",132071706,10,54,20171,110.224043715847,2,"r2c2ABA"
"28",132071712,1,7,280,40,1,"r2c2ABA"
"29",132071714,4,19,139,5.34615384615385,2,"r2c2ABA"
"30",132071715,4,29,709,15.7555555555556,1,"r2c2ABA"
"31",132071716,1,10,150,15,1,"r2c2ABA"
"32",132071717,1,6,12,2,1,"r2c2ABA"
"33",132071718,2,10,44,3.66666666666667,1,"r2c2ABA"
"34",132071732,2,8,718,65.2727272727273,1,"r2c2ABA"
"35",132071734,6,34,4218,61.1304347826087,2,"r2c2ABA"
"36",132071735,2,19,517,22.4782608695652,2,"r2c2ABA"
"37",132071747,1,8,1176,147,1,"r2c2ABA"
"38",132071752,10,40,7103,59.6890756302521,1,"r2c2ABA"
"39",132071754,1,5,5,1,1,"r2c2ABA"
"40",132071755,1,11,110,10,1,"r2c2ABA"
"41",132071756,5,56,15494,123.952,3,"r2c2ABA"
"42",132071757,9,71,35609,143.584677419355,3,"r2c2ABA"
"43",132071759,1,10,1800,180,1,"r2c2ABA"
"44",132071762,1,18,252,14,1,"r2c2ABA"
"45",132071764,1,9,117,13,1,"r2c2ABA"
"46",132071769,22,36,6333,39.58125,3,"r2c2ABA"
"47",132071804,1,5,55,11,1,"r2c2ABA"
"48",132071807,13,65,22740,114.27135678392,3,"r2c2ABA"
"49",132071808,2,25,321,11.8888888888889,1,"r2c2ABA"
"50",132071814,11,54,10669,59.6033519553073,1,"r2c2ABA"
"51",132071843,4,7,200,14.2857142857143,2,"r2c2ABA"
"52",132071845,1,7,21,3,1,"r2c2ABA"
"53",132071847,1,16,112,7,1,"r2c2ABA"
"54",132071849,1,14,98,7,1,"r2c2ABA"
"55",132071852,25,52,30680,108.794326241135,3,"r2c2ABA"
"56",132071854,1,1,1,1,1,"r2c2ABA"
"57",132071855,4,41,774,13.3448275862069,2,"r2c2ABA"
"58",132071859,5,50,3072,37.4634146341463,3,"r2c2ABA"
"59",132071866,1,11,33,3,1,"r2c2ABA"
"60",132071884,1,4,480,120,1,"r2c2ABA"
"61",132071934,2,9,627,69.6666666666667,2,"r2c2ABA"
"62",132071935,2,28,1308,37.3714285714286,1,"r2c2ABA"
"63",132071950,1,11,55,5,1,"r2c2ABA"
"64",132071951,1,5,45,9,1,"r2c2ABA"
"65",132071953,1,11,275,25,1,"r2c2ABA"
"66",132071956,1,7,35,5,1,"r2c2ABA"
"67",132071962,1,9,90,10,1,"r2c2ABA"
"68",132071965,1,14,3710,265,1,"r2c2ABA"
"69",132071978,36,94,80504,114.678062678063,3,"r2c2ABA"
"70",132072016,1,6,90,15,1,"r2c2ABA"
"71",132072017,1,22,1518,69,1,"r2c2ABA"
