"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",132042166,4,32,3132,52.2,1,"r2c3"
"2",132042618,1,17,340,20,1,"r2c3"
"3",132043243,1,4,20,5,1,"r2c3"
"4",132043266,1,12,720,60,1,"r2c3"
"5",132078463,1,4,60,15,1,"r2c3"
"6",132078464,1,8,824,103,1,"r2c3"
"7",132078624,2,13,1140,63.3333333333333,1,"r2c3"
"8",132078889,1,6,288,48,1,"r2c3"
"9",132079159,1,34,1360,40,1,"r2c3"
"10",132079161,1,4,24,6,1,"r2c3"
"11",132079273,1,2,6,3,1,"r2c3"
"12",132079368,1,8,200,25,1,"r2c3"
"13",132079369,1,3,9,3,1,"r2c3"
"14",132079384,2,10,81,6.23076923076923,1,"r2c3"
"15",132079809,1,28,2520,90,1,"r2c3"
"16",132079811,1,7,70,10,1,"r2c3"
"17",132079816,15,63,43671,123.364406779661,2,"r2c3"
"18",132079840,3,13,67,3.35,3,"r2c3"
"19",132079854,4,45,12654,152.457831325301,2,"r2c3"
"20",132080241,1,1,45,45,1,"r2c3"
"21",132080280,1,13,247,19,1,"r2c3"
"22",132080479,5,22,3230,75.1162790697674,1,"r2c3"
"23",132083715,1,9,180,20,1,"r2c3"
"24",132114329,1,2,14,7,1,"r2c3"
"25",132114479,2,31,6210,135,1,"r2c3"
"26",132114550,1,7,84,12,1,"r2c3"
"27",132114560,1,24,1440,60,1,"r2c3"
"28",132114738,1,15,150,10,1,"r2c3"
"29",132114766,1,10,1340,134,1,"r2c3"
"30",132114767,1,9,117,13,1,"r2c3"
"31",132114768,1,15,900,60,1,"r2c3"
"32",132114769,3,12,46,3.28571428571429,1,"r2c3"
"33",132114803,2,15,1830,114.375,2,"r2c3"
"34",132114993,3,16,1430,57.2,1,"r2c3"
"35",132115238,1,9,135,15,1,"r2c3"
"36",132115436,3,19,2600,113.04347826087,3,"r2c3"
"37",132115512,7,7,1860,265.714285714286,2,"r2c3"
"38",132115690,1,7,35,5,1,"r2c3"
"39",132115882,1,1,20,20,1,"r2c3"
"40",132115889,1,16,320,20,1,"r2c3"
"41",132120304,4,46,4013,60.8030303030303,2,"r2c3"
"42",132120844,1,25,1500,60,1,"r2c3"
"43",132150582,2,10,65,5,1,"r2c3"
"44",132150618,1,4,8,2,1,"r2c3"
"45",132150621,1,7,140,20,1,"r2c3"
"46",132150734,1,12,360,30,1,"r2c3"
"47",132151076,1,3,360,120,1,"r2c3"
"48",132151321,2,40,5700,107.547169811321,1,"r2c3"
"49",132151322,1,7,70,10,1,"r2c3"
"50",132151336,1,11,1320,120,1,"r2c3"
"51",132151516,10,30,7400,74.7474747474748,3,"r2c3"
"52",132151589,1,7,560,80,1,"r2c3"
"53",132151908,1,2,10,5,1,"r2c3"
"54",132151975,5,29,567,11.8125,1,"r2c3"
"55",132152042,1,1,3,3,1,"r2c3"
"56",132152046,2,18,256,11.6363636363636,2,"r2c3"
