"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",132034853,1,8,960,120,1,"r2c2AA"
"2",132034943,1,5,60,12,1,"r2c2AA"
"3",132035507,5,25,1866,37.32,2,"r2c2AA"
"4",132070913,2,15,2740,137,2,"r2c2AA"
"5",132070921,10,24,2709,38.7,3,"r2c2AA"
"6",132071045,1,11,242,22,1,"r2c2AA"
"7",132071080,1,2,10,5,1,"r2c2AA"
"8",132071257,7,31,3762,57,3,"r2c2AA"
"9",132071266,2,9,219,19.9090909090909,2,"r2c2AA"
"10",132071267,2,7,44,6.28571428571429,1,"r2c2AA"
"11",132071268,1,8,160,20,1,"r2c2AA"
"12",132071306,4,10,90,3.75,2,"r2c2AA"
"13",132071374,2,18,6315,233.888888888889,2,"r2c2AA"
"14",132071598,1,4,92,23,1,"r2c2AA"
"15",132107001,1,2,10,5,1,"r2c2AA"
"16",132107002,4,8,146,10.4285714285714,1,"r2c2AA"
"17",132107003,2,6,177,19.6666666666667,1,"r2c2AA"
"18",132107004,2,14,185,10.8823529411765,1,"r2c2AA"
"19",132107067,1,7,315,45,1,"r2c2AA"
"20",132107163,1,2,10,5,1,"r2c2AA"
"21",132107164,1,1,5,5,1,"r2c2AA"
"22",132107319,10,33,4671,52.4831460674157,2,"r2c2AA"
"23",132107337,1,4,36,9,1,"r2c2AA"
"24",132107348,3,15,319,14.5,2,"r2c2AA"
"25",132107349,1,10,130,13,1,"r2c2AA"
"26",132107356,2,12,344,20.2352941176471,1,"r2c2AA"
"27",132107358,1,7,315,45,1,"r2c2AA"
"28",132107360,13,32,1739,18.1145833333333,2,"r2c2AA"
"29",132107361,2,4,31,6.2,2,"r2c2AA"
"30",132107413,1,3,60,20,1,"r2c2AA"
"31",132107680,46,45,5484,21.936,3,"r2c2AA"
"32",132143086,1,4,20,5,1,"r2c2AA"
"33",132143147,1,1,10,10,1,"r2c2AA"
"34",132143282,1,13,117,9,1,"r2c2AA"
"35",132143406,4,21,907,25.9142857142857,3,"r2c2AA"
"36",132143429,1,3,3,1,1,"r2c2AA"
"37",132143431,1,14,322,23,1,"r2c2AA"
"38",132143435,1,3,6,2,1,"r2c2AA"
"39",132143437,1,1,2,2,1,"r2c2AA"
"40",132143439,1,7,84,12,1,"r2c2AA"
"41",132143440,3,5,98,14,1,"r2c2AA"
"42",132143441,10,29,2855,35.2469135802469,2,"r2c2AA"
"43",132143442,2,18,518,27.2631578947368,2,"r2c2AA"
"44",132143443,3,19,1212,63.7894736842105,1,"r2c2AA"
"45",132143457,1,5,30,6,1,"r2c2AA"
"46",132143523,1,6,180,30,1,"r2c2AA"
"47",132143752,1,6,162,27,1,"r2c2AA"
"48",132143757,1,2,10,5,1,"r2c2AA"
"49",132143758,9,18,802,22.2777777777778,3,"r2c2AA"
"50",132143760,1,1,14,14,1,"r2c2AA"
"51",132179164,2,3,29,9.66666666666667,1,"r2c2AA"
"52",132179167,3,10,690,46,2,"r2c2AA"
"53",132179315,2,9,168,15.2727272727273,1,"r2c2AA"
"54",132179465,2,6,96,16,1,"r2c2AA"
"55",132179480,1,2,12,6,1,"r2c2AA"
"56",132179487,6,16,262,7.48571428571429,3,"r2c2AA"
"57",132179500,5,18,544,20.9230769230769,2,"r2c2AA"
"58",132179510,1,5,25,5,1,"r2c2AA"
"59",132179511,2,9,114,12.6666666666667,1,"r2c2AA"
"60",132179522,1,5,70,14,1,"r2c2AA"
"61",132179523,5,14,305,10.5172413793103,2,"r2c2AA"
"62",132179524,4,22,289,8.25714285714286,2,"r2c2AA"
"63",132179840,1,4,156,39,1,"r2c2AA"
"64",132179844,1,10,430,43,1,"r2c2AA"
"65",132179845,3,12,551,32.4117647058824,1,"r2c2AA"
"66",132215241,6,16,4680,83.5714285714286,3,"r2c2AA"
"67",132215242,5,19,1767,45.3076923076923,2,"r2c2AA"
"68",132215246,3,9,189,14.5384615384615,3,"r2c2AA"
"69",132215271,1,1,5,5,1,"r2c2AA"
"70",132215367,1,4,24,6,1,"r2c2AA"
"71",132215545,18,30,7868,67.2478632478633,3,"r2c2AA"
"72",132215547,3,14,1578,78.9,3,"r2c2AA"
"73",132215548,1,1,83,83,1,"r2c2AA"
"74",132215568,1,9,225,25,1,"r2c2AA"
"75",132215604,5,18,343,12.7037037037037,2,"r2c2AA"
"76",132215605,8,23,2521,41.327868852459,2,"r2c2AA"
"77",132215732,2,5,45,9,1,"r2c2AA"
"78",132215919,1,3,24,8,1,"r2c2AA"
"79",132215923,2,4,25,6.25,1,"r2c2AA"
