"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",132035673,1,4,100,25,1,"r2c2ABA"
"2",132035687,1,3,81,27,1,"r2c2ABA"
"3",132035922,1,1,1,1,1,"r2c2ABA"
"4",132036019,1,1,2,2,1,"r2c2ABA"
"5",132071769,20,17,2788,38.1917808219178,3,"r2c2ABA"
"6",132071774,1,2,8,4,1,"r2c2ABA"
"7",132071805,4,10,146,9.125,2,"r2c2ABA"
"8",132071860,1,2,8,4,1,"r2c2ABA"
"9",132072020,1,2,2,1,1,"r2c2ABA"
"10",132072021,1,1,1,1,1,"r2c2ABA"
"11",132072040,1,4,48,12,1,"r2c2ABA"
"12",132072052,1,8,1128,141,1,"r2c2ABA"
"13",132072058,1,12,1620,135,1,"r2c2ABA"
"14",132072062,1,2,20,10,1,"r2c2ABA"
"15",132072089,1,3,30,10,1,"r2c2ABA"
"16",132107899,1,1,1,1,1,"r2c2ABA"
"17",132108061,2,6,210,21,1,"r2c2ABA"
"18",132108086,1,1,5,5,1,"r2c2ABA"
"19",132108102,1,6,180,30,1,"r2c2ABA"
"20",132108120,10,24,4110,62.2727272727273,3,"r2c2ABA"
"21",132108121,5,18,1933,64.4333333333333,3,"r2c2ABA"
"22",132108123,2,10,1130,113,1,"r2c2ABA"
"23",132108129,1,5,10,2,1,"r2c2ABA"
"24",132108130,1,7,35,5,1,"r2c2ABA"
"25",132108139,1,8,336,42,1,"r2c2ABA"
"26",132108153,1,5,45,9,1,"r2c2ABA"
"27",132108155,1,9,126,14,1,"r2c2ABA"
"28",132143980,9,8,7820,130.333333333333,1,"r2c2ABA"
"29",132143984,2,4,25,5,1,"r2c2ABA"
"30",132144141,1,3,48,16,1,"r2c2ABA"
"31",132144142,1,4,60,15,1,"r2c2ABA"
"32",132144149,1,11,2310,210,1,"r2c2ABA"
"33",132144168,1,5,50,10,1,"r2c2ABA"
"34",132144171,1,4,32,8,1,"r2c2ABA"
"35",132144185,1,1,1,1,1,"r2c2ABA"
"36",132144190,2,4,16,4,1,"r2c2ABA"
