"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",132036022,19,38,63930,238.544776119403,3,"r2c2ABB"
"2",132036033,1,2,6,3,1,"r2c2ABB"
"3",132036034,10,25,3883,70.6,1,"r2c2ABB"
"4",132036038,15,31,2518,27.6703296703297,2,"r2c2ABB"
"5",132036057,1,1,2,2,1,"r2c2ABB"
"6",132036063,1,8,120,15,1,"r2c2ABB"
"7",132036082,1,5,125,25,1,"r2c2ABB"
"8",132036155,8,16,1108,23.5744680851064,3,"r2c2ABB"
"9",132036156,1,4,40,10,1,"r2c2ABB"
"10",132036360,1,6,72,12,1,"r2c2ABB"
"11",132036381,1,3,9,3,1,"r2c2ABB"
"12",132036816,11,33,2501,34.7361111111111,3,"r2c2ABB"
"13",132036825,1,11,440,40,1,"r2c2ABB"
"14",132036900,1,10,740,74,1,"r2c2ABB"
"15",132036901,1,16,1520,95,1,"r2c2ABB"
"16",132036904,1,24,3192,133,1,"r2c2ABB"
"17",132036976,1,5,50,10,1,"r2c2ABB"
"18",132072106,1,3,15,5,1,"r2c2ABB"
"19",132072108,1,16,720,45,1,"r2c2ABB"
"20",132072110,1,13,780,60,1,"r2c2ABB"
"21",132072111,1,12,360,30,1,"r2c2ABB"
"22",132072115,2,6,58,9.66666666666667,1,"r2c2ABB"
"23",132072116,14,31,5517,77.7042253521127,3,"r2c2ABB"
"24",132072118,1,5,150,30,1,"r2c2ABB"
"25",132072119,1,2,120,60,1,"r2c2ABB"
"26",132072120,56,61,50523,101.451807228916,2,"r2c2ABB"
"27",132072121,6,23,2672,74.2222222222222,2,"r2c2ABB"
"28",132072134,1,7,70,10,1,"r2c2ABB"
"29",132072139,1,5,25,5,1,"r2c2ABB"
"30",132072141,2,19,662,30.0909090909091,1,"r2c2ABB"
"31",132072142,1,2,10,5,1,"r2c2ABB"
"32",132072145,3,10,3850,240.625,1,"r2c2ABB"
"33",132072146,1,4,152,38,1,"r2c2ABB"
"34",132072154,1,12,204,17,1,"r2c2ABB"
"35",132072206,50,18,12617,27.1333333333333,1,"r2c2ABB"
"36",132072235,1,10,50,5,1,"r2c2ABB"
"37",132072236,5,14,179,7.45833333333333,3,"r2c2ABB"
"38",132072237,1,11,275,25,1,"r2c2ABB"
"39",132072238,2,17,529,24.0454545454545,1,"r2c2ABB"
"40",132072241,1,4,28,7,1,"r2c2ABB"
"41",132072251,14,35,4794,35.7761194029851,1,"r2c2ABB"
"42",132072255,2,20,2020,72.1428571428571,1,"r2c2ABB"
"43",132072257,2,9,172,13.2307692307692,1,"r2c2ABB"
"44",132072264,3,7,45,5.625,2,"r2c2ABB"
"45",132072277,11,13,189,7.56,2,"r2c2ABB"
"46",132072280,2,6,174,24.8571428571429,1,"r2c2ABB"
"47",132072291,6,17,558,15.5,3,"r2c2ABB"
"48",132072292,9,22,4035,59.3382352941176,3,"r2c2ABB"
"49",132072295,1,2,12,6,1,"r2c2ABB"
"50",132072383,1,3,42,14,1,"r2c2ABB"
"51",132072464,1,3,21,7,1,"r2c2ABB"
"52",132072608,2,9,72,8,1,"r2c2ABB"
"53",132072612,1,1,26,26,1,"r2c2ABB"
"54",132072614,1,5,125,25,1,"r2c2ABB"
"55",132072906,1,5,25,5,1,"r2c2ABB"
"56",132072907,1,1,6,6,1,"r2c2ABB"
"57",132072913,1,8,120,15,1,"r2c2ABB"
"58",132072914,1,10,300,30,1,"r2c2ABB"
