"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",132438933,1,1,112,112,1,"r2c2B"
"2",132619343,1,1,100,100,1,"r2c2B"
"3",132655427,3,18,945,45,2,"r2c2B"
"4",132944079,8,16,2015,21.6666666666667,1,"r2c2B"
"5",133016202,1,20,1940,97,1,"r2c2B"
"6",133052280,1,11,220,20,1,"r2c2B"
"7",133268777,1,22,2310,105,1,"r2c2B"
"8",133268783,1,47,7097,151,1,"r2c2B"
"9",133340931,1,9,180,20,1,"r2c2B"
"10",133377019,2,19,2355,107.045454545455,2,"r2c2B"
"11",133377020,4,26,1076,21.9591836734694,2,"r2c2B"
"12",133413102,2,15,150,10,1,"r2c2B"
"13",133449184,1,8,120,15,1,"r2c2B"
"14",133449185,4,18,1576,65.6666666666667,1,"r2c2B"
"15",133449186,1,11,990,90,1,"r2c2B"
"16",133449187,3,29,1575,35,2,"r2c2B"
"17",133449188,3,40,8432,136,1,"r2c2B"
"18",133449189,2,34,7650,182.142857142857,2,"r2c2B"
"19",133449190,1,18,828,46,1,"r2c2B"
"20",133449191,2,31,1943,45.1860465116279,1,"r2c2B"
"21",133449195,10,74,25630,134.894736842105,3,"r2c2B"
"22",133449197,2,11,946,86,1,"r2c2B"
"23",133485267,1,7,119,17,1,"r2c2B"
"24",133521340,1,16,1440,90,1,"r2c2B"
"25",133593507,2,9,622,47.8461538461538,1,"r2c2B"
"26",133773915,1,1,45,45,1,"r2c2B"
"27",133810083,3,23,1455,45.46875,2,"r2c2B"
"28",133918248,2,24,490,18.8461538461538,1,"r2c2B"
"29",133954323,1,4,120,30,1,"r2c2B"
"30",134062584,2,14,1240,72.9411764705882,2,"r2c2B"
"31",134098659,1,6,84,14,1,"r2c2B"
"32",134206902,1,17,663,39,1,"r2c2B"
"33",134459476,1,5,75,15,1,"r2c2B"
"34",134567727,2,11,840,70,1,"r2c2B"
"35",136047129,1,1,240,240,1,"r2c2B"
"36",136552216,1,12,540,45,1,"r2c2B"
"37",136804275,9,32,5194,75.2753623188406,3,"r2c2B"
"38",136840870,1,19,285,15,1,"r2c2B"
"39",136876423,1,6,90,15,1,"r2c2B"
"40",137020751,19,66,23827,94.9282868525896,3,"r2c2B"
"41",137020767,7,30,1948,25.2987012987013,2,"r2c2B"
"42",137056827,1,3,123,41,1,"r2c2B"
"43",137056848,1,13,195,15,1,"r2c2B"
"44",137056849,1,4,20,5,1,"r2c2B"
"45",137056852,1,10,50,5,1,"r2c2B"
"46",137056864,1,9,180,20,1,"r2c2B"
"47",137056866,1,6,72,12,1,"r2c2B"
"48",137092908,1,3,60,20,1,"r2c2B"
"49",137092920,1,12,720,60,1,"r2c2B"
"50",137092948,10,31,1505,23.515625,3,"r2c2B"
"51",137128990,1,7,420,60,1,"r2c2B"
"52",137128997,2,28,854,24.4,2,"r2c2B"
"53",137128998,1,1,10,10,1,"r2c2B"
"54",137129029,78,92,129907,103.676775738228,3,"r2c2B"
"55",137165079,6,37,3957,51.3896103896104,3,"r2c2B"
"56",137165083,2,37,3124,61.2549019607843,1,"r2c2B"
"57",137165114,37,43,19040,50.9090909090909,3,"r2c2B"
"58",137201147,1,1,23,23,1,"r2c2B"
"59",137201162,5,32,1325,31.547619047619,2,"r2c2B"
"60",137201185,1,13,182,14,1,"r2c2B"
"61",137201196,37,57,14606,42.336231884058,3,"r2c2B"
"62",137237243,13,56,9043,56.51875,3,"r2c2B"
"63",137237244,24,73,22127,49.5011185682327,3,"r2c2B"
"64",137237264,12,38,1800,18,3,"r2c2B"
"65",137237265,10,22,1509,19.1012658227848,3,"r2c2B"
"66",137273322,1,9,180,20,1,"r2c2B"
"67",137273325,2,15,710,39.4444444444444,1,"r2c2B"
"68",137273327,7,56,5137,36.6928571428571,3,"r2c2B"
"69",137273346,4,21,442,11.9459459459459,2,"r2c2B"
"70",137273347,1,3,6,2,1,"r2c2B"
"71",137273366,1,6,42,7,1,"r2c2B"
"72",137273367,17,52,14221,66.4532710280374,3,"r2c2B"
"73",137273852,3,42,10580,139.210526315789,2,"r2c2B"
"74",137309390,6,26,1644,26.5161290322581,2,"r2c2B"
"75",137309392,8,34,2261,28.2625,3,"r2c2B"
"76",137309406,7,44,3673,54.0147058823529,3,"r2c2B"
"77",137309407,7,39,2774,30.8222222222222,2,"r2c2B"
"78",137309429,12,41,3455,29.7844827586207,3,"r2c2B"
"79",137345474,17,47,5392,32.2874251497006,3,"r2c2B"
"80",137345510,1,5,35,7,1,"r2c2B"
"81",137345531,53,53,25862,51.4155069582505,3,"r2c2B"
"82",137345654,30,72,24522,54.6146993318486,3,"r2c2B"
"83",137346015,9,39,6156,47.3538461538462,2,"r2c2B"
"84",137381737,2,34,2270,45.4,2,"r2c2B"
"85",137381738,1,15,300,20,1,"r2c2B"
"86",137382098,1,17,289,17,1,"r2c2B"
"87",137417637,1,20,380,19,1,"r2c2B"
"88",137417817,1,9,171,19,1,"r2c2B"
"89",137417818,1,7,105,15,1,"r2c2B"
"90",137417821,50,71,24061,35.2284040995608,3,"r2c2B"
"91",137417823,37,63,15054,62.4647302904564,3,"r2c2B"
"92",137418179,1,10,650,65,1,"r2c2B"
"93",137453778,1,7,49,7,1,"r2c2B"
"94",137453779,1,10,80,8,1,"r2c2B"
"95",137453898,26,61,16508,52.9102564102564,3,"r2c2B"
"96",137453903,3,24,1150,31.0810810810811,2,"r2c2B"
"97",137453905,1,18,540,30,1,"r2c2B"
"98",137454260,3,37,1738,30.4912280701754,2,"r2c2B"
"99",137454276,1,8,480,60,1,"r2c2B"
"100",137489792,4,37,4532,75.5333333333333,2,"r2c2B"
"101",137489977,2,23,920,40,1,"r2c2B"
"102",137489987,5,23,920,27.0588235294118,2,"r2c2B"
"103",137525875,24,99,52298,104.596,3,"r2c2B"
"104",137525940,3,29,3115,59.9038461538462,2,"r2c2B"
"105",137525945,6,29,1501,34.1136363636364,3,"r2c2B"
"106",137526058,2,26,1830,65.3571428571429,2,"r2c2B"
"107",137526064,1,25,625,25,1,"r2c2B"
"108",137526069,10,35,1656,14.7857142857143,3,"r2c2B"
"109",137561954,1,6,36,6,1,"r2c2B"
"110",137561957,3,36,1028,23.906976744186,1,"r2c2B"
"111",137561963,1,2,20,10,1,"r2c2B"
"112",137561965,3,17,253,11.5,2,"r2c2B"
"113",137562027,6,35,2970,30,3,"r2c2B"
"114",137562138,1,12,144,12,1,"r2c2B"
"115",137562151,3,35,3466,46.2133333333333,2,"r2c2B"
"116",137598109,4,36,3575,50.3521126760563,2,"r2c2B"
"117",137598110,1,20,1040,52,1,"r2c2B"
"118",137598220,2,4,92,15.3333333333333,1,"r2c2B"
"119",137598222,22,49,12585,54.2456896551724,3,"r2c2B"
"120",137598223,1,20,1980,99,1,"r2c2B"
"121",137598593,17,90,37836,103.377049180328,3,"r2c2B"
"122",137598594,1,23,897,39,1,"r2c2B"
"123",137634194,5,13,484,22,2,"r2c2B"
"124",137634279,1,9,270,30,1,"r2c2B"
"125",137634301,2,5,260,52,1,"r2c2B"
"126",137634304,3,22,1494,57.4615384615385,2,"r2c2B"
"127",137634318,2,32,2005,43.5869565217391,1,"r2c2B"
"128",137634675,10,81,26366,113.158798283262,3,"r2c2B"
"129",137670277,1,1,30,30,1,"r2c2B"
"130",137670302,3,18,350,15.9090909090909,2,"r2c2B"
"131",137670328,2,9,1050,87.5,2,"r2c2B"
"132",137670404,2,13,1807,95.1052631578947,2,"r2c2B"
"133",137706358,1,22,616,28,1,"r2c2B"
"134",137706361,2,20,1040,41.6,2,"r2c2B"
"135",137706363,3,24,1655,59.1071428571429,2,"r2c2B"
"136",137706365,23,56,16527,45.9083333333333,3,"r2c2B"
"137",137706370,38,65,21409,40.3182674199623,3,"r2c2B"
"138",137706438,1,10,250,25,1,"r2c2B"
"139",137706446,1,25,500,20,1,"r2c2B"
"140",137706467,1,1,94,94,1,"r2c2B"
"141",137706468,1,1,120,120,1,"r2c2B"
"142",137706473,3,17,1305,72.5,2,"r2c2B"
"143",137706488,6,6,1800,300,1,"r2c2B"
"144",137742355,3,22,1747,52.9393939393939,2,"r2c2B"
"145",137742440,36,101,100667,91.2665457842248,3,"r2c2B"
"146",137742441,9,50,9983,60.1385542168675,3,"r2c2B"
"147",137742446,1,29,1334,46,1,"r2c2B"
"148",137742448,5,12,298,14.9,2,"r2c2B"
"149",137742450,45,67,21222,37.6944937833037,3,"r2c2B"
"150",137742451,3,6,85,7.72727272727273,1,"r2c2B"
"151",137742452,9,23,277,5.12962962962963,3,"r2c2B"
"152",137742453,9,27,1219,17.169014084507,2,"r2c2B"
"153",137742456,26,50,14798,57.579766536965,3,"r2c2B"
"154",137742457,7,22,958,19.16,2,"r2c2B"
"155",137742460,6,58,6489,54.075,2,"r2c2B"
"156",137742462,2,12,233,17.9230769230769,1,"r2c2B"
"157",137742463,9,44,3288,31.9223300970874,3,"r2c2B"
"158",137742464,11,47,9006,70.9133858267717,3,"r2c2B"
"159",137742484,15,33,4938,64.9736842105263,3,"r2c2B"
"160",137742537,4,43,12308,123.08,1,"r2c2B"
"161",137742552,2,9,900,60,1,"r2c2B"
"162",137742568,13,22,1870,49.2105263157895,1,"r2c2B"
"163",137778520,1,14,476,34,1,"r2c2B"
"164",137778522,9,59,9774,55.2203389830508,3,"r2c2B"
"165",137778531,1,8,64,8,1,"r2c2B"
"166",137778635,1,20,900,45,1,"r2c2B"
"167",137778650,5,25,2132,60.9142857142857,3,"r2c2B"
"168",137778652,3,13,540,24.5454545454545,2,"r2c2B"
"169",137778654,22,41,9005,53.2840236686391,3,"r2c2B"
"170",137778655,1,11,847,77,1,"r2c2B"
"171",137778675,1,15,675,45,1,"r2c2B"
"172",137814519,1,11,605,55,1,"r2c2B"
"173",137814625,1,5,10,2,1,"r2c2B"
"174",137814700,1,27,1728,64,1,"r2c2B"
"175",137814734,2,6,116,11.6,1,"r2c2B"
"176",137814737,13,70,13312,67.9183673469388,3,"r2c2B"
"177",137815075,7,36,7408,77.978947368421,3,"r2c2B"
"178",137850601,7,15,762,31.75,1,"r2c2B"
"179",137850703,2,14,393,23.1176470588235,2,"r2c2B"
"180",137850704,4,49,5050,68.2432432432432,2,"r2c2B"
"181",137850705,1,9,90,10,1,"r2c2B"
"182",137850706,13,67,10371,53.4587628865979,3,"r2c2B"
"183",137850840,4,32,4877,79.9508196721311,2,"r2c2B"
"184",137850847,3,16,416,26,1,"r2c2B"
"185",137851158,1,10,1200,120,1,"r2c2B"
"186",137886899,2,15,1350,90,1,"r2c2B"
"187",137886921,11,72,43535,170.725490196078,3,"r2c2B"
"188",137886922,2,16,852,42.6,2,"r2c2B"
"189",137886931,3,15,978,36.2222222222222,2,"r2c2B"
"190",137887069,50,99,62020,101.672131147541,3,"r2c2B"
"191",137887254,1,1,4,4,1,"r2c2B"
"192",137887260,1,13,1066,82,1,"r2c2B"
"193",137887262,1,1,67,67,1,"r2c2B"
"194",137887263,5,60,11648,91.7165354330709,2,"r2c2B"
"195",137922776,2,27,351,13,1,"r2c2B"
"196",137922811,1,8,480,60,1,"r2c2B"
"197",137923001,1,9,45,5,1,"r2c2B"
"198",137923003,2,33,1965,50.3846153846154,1,"r2c2B"
"199",137923150,1,10,50,5,1,"r2c2B"
"200",137923151,1,1,150,150,1,"r2c2B"
