"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",324756042,1,5,300,60,1,"r3c3"
"2",324759252,1,5,100,20,1,"r3c3"
"3",324759253,2,8,220,24.4444444444444,1,"r3c3"
"4",324759646,1,11,165,15,1,"r3c3"
"5",324759745,1,1,10,10,1,"r3c3"
"6",324759746,1,9,540,60,1,"r3c3"
"7",324831809,1,3,720,240,1,"r3c3"
"8",324867295,1,2,6,3,1,"r3c3"
"9",324867764,1,1,30,30,1,"r3c3"
"10",324867892,4,39,911,19.804347826087,2,"r3c3"
"11",324901306,2,2,161,80.5,1,"r3c3"
"12",324903389,5,29,1476,32.0869565217391,2,"r3c3"
"13",324903577,1,4,80,20,1,"r3c3"
"14",324904091,1,9,810,90,1,"r3c3"
"15",324939936,2,2,20,10,1,"r3c3"
"16",324939938,2,2,48,24,1,"r3c3"
"17",324940089,1,1,70,70,1,"r3c3"
"18",324940145,1,6,198,33,1,"r3c3"
"19",324975542,2,23,248,10.7826086956522,1,"r3c3"
"20",324976019,1,1,50,50,1,"r3c3"
"21",325012277,1,4,24,6,1,"r3c3"
"22",325012328,1,1,70,70,1,"r3c3"
"23",325119876,9,37,2897,70.6585365853659,1,"r3c3"
"24",325120572,1,1,89,89,1,"r3c3"
"25",325154106,8,8,723,90.375,1,"r3c3"
"26",325155950,2,3,33,11,1,"r3c3"
"27",325155951,2,2,2,1,1,"r3c3"
"28",325156379,3,3,309,103,1,"r3c3"
"29",325156589,1,3,30,10,1,"r3c3"
"30",325190187,1,31,930,30,1,"r3c3"
"31",325192028,1,1,181,181,1,"r3c3"
"32",325192030,1,9,315,35,1,"r3c3"
"33",325192036,2,7,57,8.14285714285714,1,"r3c3"
"34",325192509,1,7,70,10,1,"r3c3"
"35",325228820,1,1,6,6,1,"r3c3"
"36",325264201,1,15,345,23,1,"r3c3"
"37",325264675,1,69,8280,120,1,"r3c3"
"38",325264902,1,17,2550,150,1,"r3c3"
"39",325298352,1,2,20,10,1,"r3c3"
"40",325300283,18,63,3999,32.25,3,"r3c3"
"41",325300753,24,113,45940,119.635416666667,3,"r3c3"
"42",325300754,2,45,5254,116.755555555556,2,"r3c3"
"43",325336347,2,9,216,24,1,"r3c3"
"44",325336349,2,32,758,23.6875,1,"r3c3"
"45",325336363,4,96,14540,127.543859649123,3,"r3c3"
"46",325336364,2,26,1554,51.8,1,"r3c3"
"47",325336365,5,42,3210,68.2978723404255,2,"r3c3"
"48",325336550,1,9,27,3,1,"r3c3"
"49",325336551,1,17,119,7,1,"r3c3"
"50",325336835,1,21,1092,52,1,"r3c3"
"51",325336889,4,41,4606,79.4137931034483,1,"r3c3"
"52",325372430,3,3,331,110.333333333333,1,"r3c3"
"53",325372432,3,17,1316,77.4117647058823,2,"r3c3"
"54",325372435,1,2,2,1,1,"r3c3"
"55",325372447,16,96,9944,51.2577319587629,3,"r3c3"
"56",325372448,1,1,21,21,1,"r3c3"
"57",325373175,4,29,7830,270,1,"r3c3"
"58",325408530,4,26,1017,37.6666666666667,2,"r3c3"
"59",325408531,3,3,101,33.6666666666667,1,"r3c3"
"60",325444598,1,1,4,4,1,"r3c3"
"61",325444610,3,16,373,23.3125,1,"r3c3"
"62",325445020,3,84,27052,213.007874015748,1,"r3c3"
"63",325445309,23,82,15436,77.5678391959799,3,"r3c3"
"64",325480690,10,59,4664,71.7538461538462,2,"r3c3"
"65",325480696,1,52,2340,45,1,"r3c3"
"66",325481102,3,65,14275,178.4375,2,"r3c3"
"67",325481176,1,4,28,7,1,"r3c3"
"68",325516765,1,7,420,60,1,"r3c3"
"69",325516766,13,94,17668,97.6132596685083,3,"r3c3"
"70",325517262,3,33,1330,28.2978723404255,2,"r3c3"
"71",325517489,1,25,6000,240,1,"r3c3"
"72",325517493,2,25,5875,235,1,"r3c3"
"73",325550925,1,7,35,5,1,"r3c3"
"74",325551063,1,1,60,60,1,"r3c3"
"75",325552842,1,28,3360,120,1,"r3c3"
"76",325552844,1,65,8125,125,1,"r3c3"
"77",325552860,2,9,330,33,1,"r3c3"
"78",325552862,5,43,4120,85.8333333333333,2,"r3c3"
"79",325553542,1,8,272,34,1,"r3c3"
"80",325588924,17,120,22890,94.5867768595041,3,"r3c3"
"81",325589615,2,3,60,15,1,"r3c3"
"82",325589616,5,31,1714,38.9545454545455,3,"r3c3"
"83",325623170,1,12,1080,90,1,"r3c3"
"84",325625025,1,4,52,13,1,"r3c3"
"85",325625701,1,3,9,3,1,"r3c3"
"86",325661109,1,1,113,113,1,"r3c3"
"87",325697178,1,9,180,20,1,"r3c3"
"88",325697189,1,22,1958,89,1,"r3c3"
"89",325697190,3,26,2989,110.703703703704,2,"r3c3"
"90",325697883,1,10,100,10,1,"r3c3"
"91",325733260,1,1,1,1,1,"r3c3"
"92",325733270,2,20,1500,75,1,"r3c3"
"93",325733271,1,21,945,45,1,"r3c3"
"94",325733272,1,8,64,8,1,"r3c3"
"95",325733316,1,10,440,44,1,"r3c3"
"96",325733842,1,8,416,52,1,"r3c3"
"97",325733965,1,5,50,10,1,"r3c3"
"98",325769341,2,2,10,5,1,"r3c3"
"99",325769353,4,24,602,17.7058823529412,2,"r3c3"
"100",325769355,1,1,82,82,1,"r3c3"
"101",325769940,1,10,60,6,1,"r3c3"
"102",325770036,5,21,1128,53.7142857142857,1,"r3c3"
"103",325841516,7,40,2822,49.5087719298246,3,"r3c3"
"104",325877831,1,13,390,30,1,"r3c3"
"105",325913685,1,14,840,60,1,"r3c3"
"106",325949765,1,18,1548,86,1,"r3c3"
"107",325986016,1,1,10,10,1,"r3c3"
"108",325986413,4,8,160,20,1,"r3c3"
"109",325986414,27,27,2128,78.8148148148148,1,"r3c3"
"110",326021909,1,3,6,2,1,"r3c3"
"111",326021923,1,1,81,81,1,"r3c3"
"112",326058566,1,23,1311,57,1,"r3c3"
"113",326058567,1,22,440,20,1,"r3c3"
"114",326094091,1,8,160,20,1,"r3c3"
"115",326094647,1,33,1452,44,1,"r3c3"
"116",326094673,1,22,1980,90,1,"r3c3"
"117",326130152,3,3,240,80,1,"r3c3"
"118",326130394,1,1,60,60,1,"r3c3"
"119",326130779,1,20,800,40,1,"r3c3"
"120",326130879,1,9,540,60,1,"r3c3"
"121",326166475,1,2,240,120,1,"r3c3"
"122",326166807,2,21,231,11,1,"r3c3"
"123",326166963,14,60,11335,89.9603174603175,3,"r3c3"
"124",326203023,4,35,9020,184.081632653061,1,"r3c3"
"125",326238582,1,1,10,10,1,"r3c3"
"126",326274550,1,2,40,20,1,"r3c3"
"127",326275106,3,12,460,38.3333333333333,2,"r3c3"
"128",326275186,2,14,360,22.5,2,"r3c3"
"129",326275204,2,27,2430,90,1,"r3c3"
"130",326310733,1,2,16,8,1,"r3c3"
"131",326311134,1,21,441,21,1,"r3c3"
"132",326311257,8,42,11087,117.946808510638,2,"r3c3"
"133",326346666,1,13,559,43,1,"r3c3"
"134",326346813,4,37,647,17.4864864864865,2,"r3c3"
"135",326347267,11,116,30614,151.554455445545,3,"r3c3"
"136",326380911,2,29,7070,220.9375,1,"r3c3"
