"","cell","number_checklists","total_SR","total_duration","avg_duration","avg_distance","square"
"1",517455706,1,8,90,10,3.65,"r4c1"
"2",518105190,1,10,40,4,1.73,"r4c1"
"3",518177354,1,8,88,11,4.01,"r4c1"
"4",518249520,1,9,90,10,3.64,"r4c1"
"5",518357767,1,9,90,10,3.86,"r4c1"
"6",518466014,1,11,110,10,3.79,"r4c1"
"7",518538179,1,11,110,10,3.9,"r4c1"
"8",600201180,1,2,68,34,0.299,"r4c1"
"9",600634173,1,1,4,4,0.747,"r4c1"
"10",601824969,1,4,20,5,0.74,"r4c1"
"11",602654824,1,1,9,9,4.64,"r4c1"
"12",636283710,1,1,5,5,NA,"r4c1"
