"","abslat","urban2","Slope","conf.low","conf.high","p.value"
"1","slope","Natural",-0.051051255492824,-0.0534409804870827,-0.0486615304985652,0
"2","slope","Suburban",-0.0409275492087794,-0.0444326134648347,-0.0374224849527241,3.50683190728348e-115
"3","slope","Urban",-0.028895637390738,-0.0335766695389796,-0.0242146052424964,1.22377338973735e-33
"4","slope","Natural",-0.0503504140250295,-0.0527283559346472,-0.0479724721154118,0
"5","slope","Suburban",-0.0419990563372749,-0.0454909904935249,-0.0385071221810249,4.88681751700055e-122
"6","slope","Urban",-0.02859533092574,-0.0332546961963253,-0.0239359656551548,2.85718967834717e-33
"7","slope","Natural",-0.0513148797083812,-0.0536945484463851,-0.0489352109703772,0
"8","slope","Suburban",-0.0421680690826834,-0.0456604076881586,-0.0386757304772082,5.6935161323407e-123
"9","slope","Urban",-0.028897261361018,-0.0335594559528891,-0.024235066769147,6.69759041993665e-34
"10","slope","Natural",-0.0505545761672276,-0.0529352561351108,-0.0481738961993445,0
"11","slope","Suburban",-0.0404786089060467,-0.0439705039745824,-0.0369867138375111,1.47131143572252e-113
"12","slope","Urban",-0.0298064671264278,-0.0344693852675015,-0.0251435489853541,6.06253386239071e-36
"13","slope","Natural",-0.0507113344053542,-0.0530892287398069,-0.0483334400709014,0
"14","slope","Suburban",-0.0421351911395947,-0.0456256396201548,-0.0386447426590346,6.49692947709194e-123
"15","slope","Urban",-0.0293572781218292,-0.0340146922375363,-0.0246998640061221,5.32631068041477e-35
"16","slope","Natural",-0.0501400132838402,-0.0525194284229705,-0.0477605981447099,0
"17","slope","Suburban",-0.0408036773359181,-0.0442977082791068,-0.0373096463927293,3.29276704838099e-115
"18","slope","Urban",-0.0283166957973443,-0.0329790828535768,-0.0236543087411118,1.28038511810684e-32
"19","slope","Natural",-0.0509115110007061,-0.0532859761614153,-0.048537045839997,0
"20","slope","Suburban",-0.0416738632360773,-0.0451574394171046,-0.0381902870550501,9.21274044797755e-121
"21","slope","Urban",-0.032820052108046,-0.0374707344359891,-0.0281693697801029,2.06062674044683e-43
"22","slope","Natural",-0.0507944303548112,-0.0531676944281141,-0.0484211662815084,0
"23","slope","Suburban",-0.0419550682105402,-0.0454393604901676,-0.0384707759309128,2.60722140606372e-122
"24","slope","Urban",-0.0292310809832951,-0.0338809691817971,-0.024581192784793,8.03133641568552e-35
"25","slope","Natural",-0.0508675762435168,-0.0532466018815425,-0.0484885506054911,0
"26","slope","Suburban",-0.0422337300000473,-0.0457281880761655,-0.038739271923929,3.36586453055185e-123
"27","slope","Urban",-0.0312362364035601,-0.0358974322265756,-0.0265750405805446,2.51262194944195e-39
"28","slope","Natural",-0.0502670751658386,-0.0526422845246455,-0.0478918658070317,0
"29","slope","Suburban",-0.0413658355585929,-0.0448523682616023,-0.0378793028555835,7.92869700512112e-119
"30","slope","Urban",-0.029939402523997,-0.0345935293049211,-0.025285275743073,2.22273558106118e-36
"31","slope","Natural",-0.0507167150849974,-0.0531005482480145,-0.0483328819219803,0
"32","slope","Suburban",-0.0420327224634846,-0.0455323388041544,-0.0385331061228148,1.05086804179651e-121
"33","slope","Urban",-0.0295774210777484,-0.0342480492319865,-0.0249067929235103,2.61081024310269e-35
"34","slope","Natural",-0.051300120361597,-0.0536802893685184,-0.0489199513546755,0
"35","slope","Suburban",-0.0414501404768206,-0.0449443138771468,-0.0379559670764944,8.60486920126161e-119
"36","slope","Urban",-0.0281152432727338,-0.0327763894287163,-0.0234540971167513,3.37997717251424e-32
"37","slope","Natural",-0.0509475998614664,-0.0533295937772187,-0.0485656059457141,0
"38","slope","Suburban",-0.0417868232413204,-0.0452819985706728,-0.038291647911968,1.28805604807322e-120
"39","slope","Urban",-0.0297039009019702,-0.0343695186742654,-0.0250382831296749,1.13934153319287e-35
"40","slope","Natural",-0.0506880135738228,-0.053067724060798,-0.0483083030868476,0
"41","slope","Suburban",-0.0418788913502881,-0.0453729342579544,-0.0383848484426217,3.26159731471324e-121
"42","slope","Urban",-0.0295645709395719,-0.0342273808126426,-0.0249017610665011,2.1549901099409e-35
"43","slope","Natural",-0.0503007832694937,-0.0526780024549168,-0.0479235640840705,0
"44","slope","Suburban",-0.040384719570323,-0.0438735592009068,-0.0368958799397392,3.07656604492587e-113
"45","slope","Urban",-0.0294796524312752,-0.0341365396683469,-0.0248227651942034,2.76201461474752e-35
"46","slope","Natural",-0.0503602902122335,-0.0527296391651199,-0.0479909412593471,0
"47","slope","Suburban",-0.0426430665749366,-0.0461221146477484,-0.0391640185021248,1.24061178817088e-126
"48","slope","Urban",-0.0303322310422956,-0.0349760040217235,-0.0256884580628676,1.8822169332839e-37
"49","slope","Natural",-0.0513495583014439,-0.0537308843881389,-0.048968232214749,0
"50","slope","Suburban",-0.0422912078333277,-0.045786836449995,-0.0387955792166603,1.90561496285403e-123
"51","slope","Urban",-0.0295488747472328,-0.03421522576032,-0.0248825237341456,2.63080936279481e-35
"52","slope","Natural",-0.0502415154445686,-0.05262502789887,-0.0478580029902672,0
"53","slope","Suburban",-0.0398345654240809,-0.0433324965174612,-0.0363366343307006,1.09454398258116e-109
"54","slope","Urban",-0.0264626373472028,-0.0311324041830476,-0.021792870511358,1.27700023729309e-28
"55","slope","Natural",-0.0507325197025327,-0.0531172481720745,-0.0483477912329909,0
"56","slope","Suburban",-0.0416722755883642,-0.0451717876421072,-0.0381727635346212,1.11007496653793e-119
"57","slope","Urban",-0.0276037516826629,-0.0322725811570108,-0.0229349222083151,5.29511607197257e-31
"58","slope","Natural",-0.050320785219845,-0.0527027504811681,-0.0479388199585218,0
"59","slope","Suburban",-0.0406235866661918,-0.0441180067724273,-0.0371291665599563,3.41502306898134e-114
"60","slope","Urban",-0.0296601701678587,-0.0343247300735979,-0.0249956102621196,1.3837357016794e-35
"61","slope","Natural",-0.0513247383337595,-0.0537087259547509,-0.0489407507127681,0
"62","slope","Suburban",-0.0429509468137764,-0.0464491765069259,-0.0394527171206268,4.71245354705439e-127
"63","slope","Urban",-0.0294644014290257,-0.0341384525311969,-0.0247903503268545,5.26429161680998e-35
"64","slope","Natural",-0.0509092556070772,-0.0532929082422802,-0.0485256029718742,0
"65","slope","Suburban",-0.0424493012239905,-0.0459478006539465,-0.0389508017940345,3.76664309355837e-124
"66","slope","Urban",-0.0299185083405195,-0.0345887945729736,-0.0252482221080653,4.30373204613663e-36
"67","slope","Natural",-0.0500480587050795,-0.0524260867601709,-0.0476700306499881,0
"68","slope","Suburban",-0.0411481264429189,-0.0446375328539417,-0.0376587200318961,2.02746959608295e-117
"69","slope","Urban",-0.0313461005041901,-0.0360040149507439,-0.0266881860576363,1.20929285556342e-39
"70","slope","Natural",-0.0510402604555839,-0.0534225094637509,-0.048658011447417,0
"71","slope","Suburban",-0.0416858507908401,-0.0451798916983709,-0.0381918098833093,4.00453337700477e-120
"72","slope","Urban",-0.0323939668851935,-0.0370602728235302,-0.0277276609468568,4.53942374810749e-42
"73","slope","Natural",-0.0504075189186993,-0.0527822534133331,-0.0480327844240654,0
"74","slope","Suburban",-0.0430424345695709,-0.0465278380023513,-0.0395570311367906,1.67661597104984e-128
"75","slope","Urban",-0.0317241805504429,-0.0363775953512318,-0.027070765749654,1.22922768175514e-40
"76","slope","Natural",-0.0496504877316152,-0.0520316920072798,-0.0472692834559505,0
"77","slope","Suburban",-0.0402339523109632,-0.0437302746276922,-0.0367376299942343,6.04480887669737e-112
"78","slope","Urban",-0.0280567622173112,-0.0327212533974679,-0.0233922710371545,5.00016859746498e-32
"79","slope","Natural",-0.0500015145872663,-0.0523861225622063,-0.0476169066123263,0
"80","slope","Suburban",-0.0406279974631361,-0.0441269455392922,-0.0371290493869801,6.27530965812841e-114
"81","slope","Urban",-0.028290059449301,-0.0329616923735553,-0.0236184265250468,1.93762605861234e-32
"82","slope","Natural",-0.049815139120452,-0.0521946833494695,-0.0474355948914345,0
"83","slope","Suburban",-0.0399942060625982,-0.0434848959932711,-0.0365035161319253,5.38581090472252e-111
"84","slope","Urban",-0.0294723528173195,-0.0341325998838472,-0.0248121057507918,3.20704695269378e-35
"85","slope","Natural",-0.0512980554173442,-0.0536757142847411,-0.0489203965499473,0
"86","slope","Suburban",-0.0421590502571024,-0.0456472213472258,-0.038670879166979,3.30847161492344e-123
"87","slope","Urban",-0.0287305231485161,-0.0333868214048781,-0.0240742248921541,1.30401070051387e-33
"88","slope","Natural",-0.0509456265440326,-0.0533289526988302,-0.0485623003892349,0
"89","slope","Suburban",-0.0428741395806576,-0.046374507650635,-0.0393737715106801,1.8538417476598e-126
"90","slope","Urban",-0.0292231343840636,-0.033895568012522,-0.0245507007556051,1.74113327915565e-34
"91","slope","Natural",-0.050578965119486,-0.0529523787666724,-0.0482055514722995,0
"92","slope","Suburban",-0.0428813227363279,-0.0463655947689141,-0.0393970507037417,1.20769376148824e-127
"93","slope","Urban",-0.0307425710022625,-0.0353920583549414,-0.0260930836495835,2.47418643961245e-38
"94","slope","Natural",-0.0510820279285066,-0.0534618398698158,-0.0487022159871975,0
"95","slope","Suburban",-0.0416311861303299,-0.045126458195302,-0.0381359140653579,9.82963912784478e-120
"96","slope","Urban",-0.0301033149732519,-0.0347664879085829,-0.025440142037921,1.26649522172467e-36
"97","slope","Natural",-0.0509804846091856,-0.0533533952579377,-0.0486075739604334,0
"98","slope","Suburban",-0.0409293601714119,-0.0444137522938732,-0.0374449680489507,1.57183743250136e-116
"99","slope","Urban",-0.0289196186829199,-0.0335685205939218,-0.024270716771918,3.90665330789875e-34
"100","slope","Natural",-0.0508390313477219,-0.0532234524111312,-0.0484546102843125,0
"101","slope","Suburban",-0.0416946157731771,-0.0451953239930011,-0.038193907553353,9.99853706021117e-120
"102","slope","Urban",-0.029360350940796,-0.0340309887520586,-0.0246897131295334,8.08022257168282e-35
"103","slope","Natural",-0.0507079408175862,-0.0530845116305208,-0.0483313700046515,0
"104","slope","Suburban",-0.0425773581749843,-0.0460634132189035,-0.0390913031310651,9.3373917353498e-126
"105","slope","Urban",-0.0304531708833967,-0.0351077915892309,-0.0257985501775626,1.4357824521868e-37
"106","slope","Natural",-0.0502569623969373,-0.0526332106003833,-0.0478807141934913,0
"107","slope","Suburban",-0.0418355605624348,-0.0453222254036453,-0.0383488957212243,1.81008024020516e-121
"108","slope","Urban",-0.029035521059341,-0.0336899702486333,-0.0243810718700486,2.56761424966897e-34
"109","slope","Natural",-0.0502115578437795,-0.0525949870580039,-0.0478281286295552,0
"110","slope","Suburban",-0.0415170092388399,-0.04501174284861,-0.0380222756290698,3.95720119442551e-119
"111","slope","Urban",-0.0285488963140463,-0.0332175367575864,-0.0238802558705062,4.81886723208889e-33
"112","slope","Natural",-0.0498722213296405,-0.0522538638542829,-0.0474905788049981,0
"113","slope","Suburban",-0.0419584944856956,-0.0454516586646711,-0.03846533030672,1.00695638861864e-121
"114","slope","Urban",-0.02917806374077,-0.0338428199563158,-0.0245133075252242,1.71483178581723e-34
"115","slope","Natural",-0.0505849435815885,-0.0529641579002123,-0.0482057292629647,0
"116","slope","Suburban",-0.0412503460348553,-0.0447420028534111,-0.0377586892162994,7.67375625664298e-118
"117","slope","Urban",-0.0289320915876054,-0.0335922678047896,-0.0242719153704212,5.25377595996642e-34
"118","slope","Natural",-0.0499117822356389,-0.052285063433933,-0.0475385010373447,0
"119","slope","Suburban",-0.0407893332408157,-0.0442719159424669,-0.0373067505391646,7.18336193575253e-116
"120","slope","Urban",-0.0270916287908723,-0.0317425505234209,-0.0224407070583236,3.82517414483695e-30
"121","slope","Natural",-0.0510543844797038,-0.0534292428911309,-0.0486795260682767,0
"122","slope","Suburban",-0.0418233883112318,-0.0453088959867751,-0.0383378806356885,1.77002921750795e-121
"123","slope","Urban",-0.0292080348599911,-0.0338599618963881,-0.0245561078235941,9.67866780164351e-35
"124","slope","Natural",-0.0508564903759063,-0.0532369501047461,-0.0484760306470665,0
"125","slope","Suburban",-0.0424662222978613,-0.0459623893655428,-0.0389700552301799,2.07591346431094e-124
"126","slope","Urban",-0.029324772302776,-0.0339894777026402,-0.0246600669029119,8.00870006190049e-35
"127","slope","Natural",-0.0517275199760314,-0.0541103134457149,-0.0493447265063479,0
"128","slope","Suburban",-0.04106272888674,-0.0445603263918791,-0.0375651313816009,2.0742626529112e-116
"129","slope","Urban",-0.0297857526748212,-0.0344504424156019,-0.0251210629340405,7.17857500914575e-36
"130","slope","Natural",-0.0510893989097496,-0.0534696057483847,-0.0487091920711144,0
"131","slope","Suburban",-0.0415989317910817,-0.045090712792387,-0.0381071507897764,8.71150142916538e-120
"132","slope","Urban",-0.0309287957574011,-0.0355909375313068,-0.0262666539834955,1.41243572093409e-38
"133","slope","Natural",-0.0512930210164248,-0.0536660336655655,-0.0489200083672841,0
"134","slope","Suburban",-0.041740664099731,-0.0452256061534947,-0.0382557220459672,4.77105324096102e-121
"135","slope","Urban",-0.0285821823010009,-0.0332323133996139,-0.023932051202388,2.28942729153131e-33
"136","slope","Natural",-0.0505037483409337,-0.0528809266225435,-0.0481265700593238,0
"137","slope","Suburban",-0.0420037706048368,-0.0454924376215573,-0.0385151035881163,2.74656771800027e-122
"138","slope","Urban",-0.0279288650424826,-0.0325858662571178,-0.0232718638278474,7.54905474692756e-32
"139","slope","Natural",-0.0500750029649766,-0.0524485139949955,-0.0477014919349576,0
"140","slope","Suburban",-0.0427082865330992,-0.0461942375681142,-0.0392223354980842,1.60669103622393e-126
"141","slope","Urban",-0.0267317588506035,-0.0313821383364395,-0.0220813793647675,2.12071386200169e-29
"142","slope","Natural",-0.0500387011538576,-0.0524159816822675,-0.0476614206254477,0
"143","slope","Suburban",-0.0426272765357441,-0.0461182433660308,-0.0391363097054574,1.0673384126819e-125
"144","slope","Urban",-0.0300443669252379,-0.0347003605852665,-0.0253883732652093,1.35460736273463e-36
"145","slope","Natural",-0.0505190833482699,-0.0529007441939184,-0.0481374225026215,0
"146","slope","Suburban",-0.0405727404379827,-0.0440692789111618,-0.0370762019648036,8.85256843813687e-114
"147","slope","Urban",-0.0283503062880434,-0.0330166876434073,-0.0236839249326795,1.22169247944513e-32
"148","slope","Natural",-0.0506939177010942,-0.053072237724214,-0.0483155976779743,0
"149","slope","Suburban",-0.0413184228088654,-0.0448101506993181,-0.0378266949184126,3.23210526463501e-118
"150","slope","Urban",-0.029888330538678,-0.0345485923935725,-0.0252280686837834,3.59379249885312e-36
"151","slope","Natural",-0.0505557878022755,-0.0529345797027104,-0.0481769959018406,0
"152","slope","Suburban",-0.0405039631392119,-0.0439939424966445,-0.0370139837817793,8.06959341393024e-114
"153","slope","Urban",-0.0298540153048114,-0.0345140485046531,-0.0251939821049697,4.27673895664037e-36
"154","slope","Natural",-0.0499713992434354,-0.0523560214118799,-0.0475867770749909,0
"155","slope","Suburban",-0.0408754535988307,-0.0443740683962908,-0.0373768388013706,2.61261534697677e-115
"156","slope","Urban",-0.0278744019697292,-0.032544401840952,-0.0232044020985064,1.45207251305222e-31
"157","slope","Natural",-0.0511233282530413,-0.053502200708472,-0.0487444557976106,0
"158","slope","Suburban",-0.0419394062112932,-0.0454254088852637,-0.0384534035373226,4.19303880291445e-122
"159","slope","Urban",-0.0307497541692022,-0.0354078194601903,-0.0260916888782142,3.24224012936376e-38
"160","slope","Natural",-0.0504612382239716,-0.0528377902790953,-0.048084686168848,0
"161","slope","Suburban",-0.0415770224202368,-0.0450657809301279,-0.0380882639103458,7.25595896876307e-120
"162","slope","Urban",-0.0279024839057753,-0.0325579998416972,-0.0232469679698534,8.23331458243603e-32
"163","slope","Natural",-0.0498997220849955,-0.0522717500002679,-0.0475276941697231,0
"164","slope","Suburban",-0.0423377589420987,-0.0458197424904755,-0.038855775393722,1.16192493662769e-124
"165","slope","Urban",-0.0286557484493292,-0.0333041911129157,-0.0240073057857427,1.49171722304681e-33
"166","slope","Natural",-0.0501678824362345,-0.0525469924710541,-0.0477887724014148,0
"167","slope","Suburban",-0.0408319515126871,-0.044322109886189,-0.0373417931391853,1.29256552924827e-115
"168","slope","Urban",-0.0310435070756012,-0.0357034767907918,-0.0263835373604107,6.9528108617583e-39
