"","abslat","urban2","season","Slope","conf.low","conf.high","p.value"
"1","slope","Natural","Summer",-0.0272289735094486,-0.0304475103158619,-0.0240104367030353,1.56827878253751e-61
"2","slope","Natural","Winter",-0.129406786809101,-0.132767929018325,-0.126045644599877,0
"3","slope","Suburban","Summer",-0.012918002227094,-0.0178884859716294,-0.0079475184825586,3.52300051412822e-07
"4","slope","Suburban","Winter",-0.0943669927072574,-0.0987538513788664,-0.0899801340356483,0
"5","slope","Urban","Summer",-0.00649170964366397,-0.0122744761671904,-0.000708943120137545,0.0277903958320066
"6","slope","Urban","Winter",-0.0713767053091071,-0.0768785616834322,-0.0658748489347819,2.02317264999793e-141
"7","slope","Natural","Summer",-0.0274746735969569,-0.0306892910198023,-0.0242600561741114,9.3213039806566e-63
"8","slope","Natural","Winter",-0.130288888187771,-0.13364689563345,-0.126930880742092,0
"9","slope","Suburban","Summer",-0.0145039633872588,-0.0194725331113918,-0.00953539366312594,1.06334942099406e-08
"10","slope","Suburban","Winter",-0.0948482507429153,-0.0992305493715056,-0.0904659521143251,0
"11","slope","Urban","Summer",-0.0108177139528858,-0.016595948475142,-0.00503947943062959,0.000243399902654972
"12","slope","Urban","Winter",-0.0701904476417805,-0.075687859826391,-0.0646930354571701,4.43597068829639e-137
"13","slope","Natural","Summer",-0.0269349353317218,-0.030148166818052,-0.0237217038453917,1.90937269889591e-60
"14","slope","Natural","Winter",-0.1301895884982,-0.133546515716647,-0.126832661279752,0
"15","slope","Suburban","Summer",-0.0118419273180872,-0.0168076207842798,-0.00687623385189446,2.96176490548017e-06
"16","slope","Suburban","Winter",-0.0937697761582226,-0.0981509760667211,-0.0893885762497241,0
"17","slope","Urban","Summer",-0.00740594855888351,-0.0131810268923268,-0.00163087022544025,0.0119569644306993
"18","slope","Urban","Winter",-0.0667923084519828,-0.0722867598930802,-0.0612978570108854,1.52388524518597e-124
"19","slope","Natural","Summer",-0.0277033013032996,-0.0309161938548774,-0.0244904087517219,7.74431244680764e-64
"20","slope","Natural","Winter",-0.130509310409171,-0.13386666877239,-0.127151952045952,0
"21","slope","Suburban","Summer",-0.0151397942844457,-0.0201042606982671,-0.0101753278706242,2.28843127132957e-09
"22","slope","Suburban","Winter",-0.0949601386089226,-0.0993413153474926,-0.0905789618703526,0
"23","slope","Urban","Summer",-0.00881499676448978,-0.0145909587134998,-0.00303903481547976,0.00277974043558766
"24","slope","Urban","Winter",-0.0699866736007181,-0.0754815218514469,-0.0644918253499894,1.99237436499738e-136
"25","slope","Natural","Summer",-0.0269555572236155,-0.0301695699122858,-0.0237415445349452,1.65902674891792e-60
"26","slope","Natural","Winter",-0.130409512391347,-0.133768155004088,-0.127050869778606,0
"27","slope","Suburban","Summer",-0.0137112666518876,-0.018678413915516,-0.00874411938825927,6.32573230726158e-08
"28","slope","Suburban","Winter",-0.0948434261552303,-0.0992245932047229,-0.0904622591057378,0
"29","slope","Urban","Summer",-0.00788213284282013,-0.0136584737713202,-0.00210579191432002,0.00748590046076234
"30","slope","Urban","Winter",-0.0723806253135018,-0.0778782464843996,-0.066883004142604,1.48872661253315e-145
"31","slope","Natural","Summer",-0.0264623521511243,-0.0296742966183381,-0.0232504076839105,1.85217989892539e-58
"32","slope","Natural","Winter",-0.129833492958269,-0.133189777156625,-0.126477208759914,0
"33","slope","Suburban","Summer",-0.0148615589553789,-0.0198269604259968,-0.009896157484761,4.49106188351209e-09
"34","slope","Suburban","Winter",-0.0936952895013208,-0.0980749367553706,-0.0893156422472711,0
"35","slope","Urban","Summer",-0.00980342353695117,-0.0155753394597364,-0.00403150761416592,0.000872282360634671
"36","slope","Urban","Winter",-0.0712222222862493,-0.0767163604561179,-0.0657280841163808,3.28636222703493e-141
"37","slope","Natural","Summer",-0.0271150067894803,-0.0303255174361488,-0.0239044961428118,2.49466654589246e-61
"38","slope","Natural","Winter",-0.130006652618868,-0.133359258959273,-0.126654046278463,0
"39","slope","Suburban","Summer",-0.0150875613787509,-0.020046306391489,-0.0101288163660129,2.4894554276838e-09
"40","slope","Suburban","Winter",-0.0939316500885758,-0.0983054857002865,-0.0895578144768652,0
"41","slope","Urban","Summer",-0.00826766477502757,-0.014036207110419,-0.0024991224396362,0.00496943608355101
"42","slope","Urban","Winter",-0.0694907703089802,-0.0749793685194189,-0.0640021720985416,7.62984583257964e-135
"43","slope","Natural","Summer",-0.0280664025303231,-0.0312836090453003,-0.024849196015346,2.68797010711808e-65
"44","slope","Natural","Winter",-0.12983948876305,-0.1332003595504,-0.126478617975699,0
"45","slope","Suburban","Summer",-0.0140083516134176,-0.0189802202620166,-0.00903648296481851,3.36592557976537e-08
"46","slope","Suburban","Winter",-0.0967797138726733,-0.101165729342403,-0.0923936984029432,0
"47","slope","Urban","Summer",-0.0060063036786227,-0.0117876888075709,-0.000224918549674462,0.0417292633704353
"48","slope","Urban","Winter",-0.0711643783526727,-0.0766663542405503,-0.0656624024647951,1.35866759027995e-140
"49","slope","Natural","Summer",-0.0278108637566198,-0.0310251284839537,-0.024596599029286,2.894571073292e-64
"50","slope","Natural","Winter",-0.129567247809172,-0.132925420648415,-0.126209074969929,0
"51","slope","Suburban","Summer",-0.0141847169411845,-0.0191525045761477,-0.00921692930622129,2.20207009537383e-08
"52","slope","Suburban","Winter",-0.0951352850254907,-0.0995166883168871,-0.0907538817340943,0
"53","slope","Urban","Summer",-0.0096695593650347,-0.0154479557263653,-0.00389116300370412,0.00103936691751251
"54","slope","Urban","Winter",-0.0700693056952917,-0.0755648073821551,-0.0645738040084283,1.03786606862431e-136
"55","slope","Natural","Summer",-0.0279172231118284,-0.0311317126866329,-0.0247027335370239,9.85861464894143e-65
"56","slope","Natural","Winter",-0.129864354937294,-0.133222200769262,-0.126506509105326,0
"57","slope","Suburban","Summer",-0.0139471674948204,-0.0189152123949164,-0.00897912259472451,3.76838500729978e-08
"58","slope","Suburban","Winter",-0.0959509585230744,-0.100333794634774,-0.0915681224113744,0
"59","slope","Urban","Summer",-0.00977409700333393,-0.0155503151832622,-0.00399787882340563,0.000912018736811065
"60","slope","Urban","Winter",-0.0709544637246748,-0.0764516553869132,-0.0654572720624365,5.06567122928626e-140
"61","slope","Natural","Summer",-0.0277464343087846,-0.0309663339293989,-0.0245265346881703,9.24415237110052e-64
"62","slope","Natural","Winter",-0.130074386333476,-0.133437797937188,-0.126710974729763,0
"63","slope","Suburban","Summer",-0.0142764502897372,-0.0192521318669196,-0.00930076871255474,1.88141939782316e-08
"64","slope","Suburban","Winter",-0.0934463073362608,-0.0978355919365446,-0.089057022735977,0
"65","slope","Urban","Summer",-0.00950091044482043,-0.0152875087875615,-0.00371431210207939,0.00129138205868411
"66","slope","Urban","Winter",-0.0689644841646714,-0.0744712850253922,-0.0634576833039507,5.34201885786046e-132
"67","slope","Natural","Summer",-0.0277193803213753,-0.0309377135714008,-0.0245010470713497,1.06207125812307e-63
"68","slope","Natural","Winter",-0.130242464814177,-0.133603950535547,-0.126880979092807,0
"69","slope","Suburban","Summer",-0.0149734604875444,-0.0199446675874583,-0.0100022533876305,3.58571807599449e-09
"70","slope","Suburban","Winter",-0.0937768943041739,-0.0981630097145087,-0.0893907788938392,0
"71","slope","Urban","Summer",-0.00823000233301319,-0.0140131375208405,-0.00244686714518587,0.00528451996151534
