"","abslat","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1",0,"Natural",212.764882521964,0,Inf,207.003765426513,218.605071824101
"2",0,"Suburban",152.174623321859,0,Inf,147.826945713117,156.585311578299
"3",0,"Urban",127.537031138637,0,Inf,122.837920924403,132.324343393545
"4",5,"Natural",203.135812025493,0,Inf,198.17297252471,208.160027500615
"5",5,"Suburban",146.884254823354,0,Inf,143.150105126238,150.666483140712
"6",5,"Urban",124.212500968167,0,Inf,120.165393258491,128.32663685181
"7",10,"Natural",193.729706838346,0,Inf,189.522963105416,197.98262696426
"8",10,"Suburban",141.687480566204,0,Inf,138.538504438754,144.871843717849
"9",10,"Urban",120.931875478143,0,Inf,117.50248644922,124.410591782345
"10",15,"Natural",184.546566960525,0,Inf,181.04836100222,188.078246372943
"11",15,"Suburban",136.584300550408,0,Inf,133.98684589709,139.20669107074
"12",15,"Urban",117.695154668566,0,Inf,114.838324649046,120.587084088724
"13",20,"Natural",175.586392392029,0,Inf,172.739565296191,178.456486659536
"14",20,"Suburban",131.574714775968,0,Inf,129.485170878453,133.680983815384
"15",20,"Urban",114.502338539434,0,Inf,112.153365090523,116.875656508863
"16",25,"Natural",166.849183132858,0,Inf,164.578469961088,169.13545384417
"17",25,"Suburban",126.658723242883,0,Inf,125.013528211418,128.314673117572
"18",25,"Urban",111.353427090749,0,Inf,109.412608080816,113.311308739913
"19",30,"Natural",158.334939183013,0,Inf,156.530191757246,160.150031164919
"20",30,"Suburban",121.836325951152,0,Inf,120.531482110847,123.14819477468
"21",30,"Urban",108.248420322509,0,Inf,106.561117883479,109.948976518612
"22",35,"Natural",150.043660542492,0,Inf,148.534486639973,151.560462667093
"23",35,"Suburban",117.107522900777,0,Inf,115.971646703402,118.248934652439
"24",35,"Urban",105.187318234716,0,Inf,103.545264833764,106.842289509101
"25",40,"Natural",141.975347211297,0,Inf,140.528651644533,143.429451316676
"26",40,"Suburban",112.472314091757,0,Inf,111.286286367339,113.664628375173
"27",40,"Urban",102.170120827369,0,Inf,100.366883502422,103.989413140891
"28",45,"Natural",134.129999189426,0,Inf,132.522938211296,135.746745672861
"29",45,"Suburban",107.930699524091,0,Inf,106.520149100749,109.350527942973
"30",45,"Urban",99.1968281004675,0,Inf,97.0876385494052,101.328682761332
"31",50,"Natural",126.507616476881,0,Inf,124.602157308735,128.42753476724
"32",50,"Suburban",103.482679197781,0,Inf,101.757006150897,105.222862109527
"33",50,"Urban",96.2674400540126,0,Inf,93.7728034070793,98.7948249231034
"34",55,"Natural",119.108199073661,0,Inf,116.843916098298,121.394211438609
"35",55,"Suburban",99.1282531128259,0,Inf,97.0516359155576,101.226852480689
"36",55,"Urban",93.3819566880037,0,Inf,90.4643642993906,96.3458534101667
"37",60,"Natural",111.931746979766,0,Inf,109.292147163994,114.602843100305
"38",60,"Suburban",94.8674212692256,0,Inf,92.4309988266969,97.3355386158393
"39",60,"Urban",90.5403780024409,0,Inf,87.1855319680434,93.9585574849429
"40",65,"Natural",104.978260195196,0,Inf,101.969022995048,108.031257270414
"41",65,"Suburban",90.7001836669804,0,Inf,87.9081534527619,93.5358619501038
"42",65,"Urban",87.7427039973242,0,Inf,83.9490099189069,91.620233640853
"43",70,"Natural",98.2477387199511,0,Inf,94.8859911014932,101.668006428146
"44",70,"Suburban",86.6265403060902,0,Inf,83.4898258567,89.8210964210033
"45",70,"Urban",84.9889346726537,0,Inf,80.7620187835819,89.3236612460478
"46",0,"Natural",214.684919157111,0,Inf,208.892612428367,220.55643779718
"47",0,"Suburban",152.548876765577,0,Inf,148.192084829098,156.968788244856
"48",0,"Urban",126.765012885334,0,Inf,122.078686885748,131.539601513097
"49",5,"Natural",204.728879474405,0,Inf,199.742168344389,209.777073949344
"50",5,"Suburban",147.165264132627,0,Inf,143.424003229722,150.954694788502
"51",5,"Urban",123.542461559125,0,Inf,119.504849105896,127.647153294924
"52",10,"Natural",195.009209444153,0,Inf,190.784840052806,199.279836240751
"53",10,"Suburban",141.87836239608,0,Inf,138.723900419813,145.068287182455
"54",10,"Urban",120.36140027403,0,Inf,116.938559091794,123.833615468965
"55",15,"Natural",185.525909066354,0,Inf,182.015228075497,189.070124159677
"56",15,"Suburban",136.688171555936,0,Inf,134.086466817237,139.314875030936
