"","abslat","urban2","season","Slope","conf.low","conf.high","p.value"
"1","slope","Natural","Summer",-0.0471325314490723,-0.0545794681688433,-0.0396855947293013,3.71378053598748e-35
"2","slope","Natural","Winter",-0.163071282718603,-0.171848165774597,-0.154294399662608,1.54885027713286e-277
"3","slope","Suburban","Summer",-0.0124777526559365,-0.019347931973358,-0.00560757333851502,0.000372037780401033
"4","slope","Suburban","Winter",-0.108471097699477,-0.114715047625883,-0.10222714777307,3.03088593807728e-244
"5","slope","Urban","Summer",-0.00976901588851002,-0.0173368525139254,-0.00220117926309467,0.011408753811498
"6","slope","Urban","Winter",-0.0814509273629001,-0.0886762363387625,-0.0742256183870377,2.22113854627968e-106
"7","slope","Natural","Summer",-0.0468912890194274,-0.0543622198169272,-0.0394203582219276,1.32055352066518e-34
"8","slope","Natural","Winter",-0.161859559258439,-0.170664084852239,-0.15305503366464,5.23147161345394e-272
"9","slope","Suburban","Summer",-0.0132582568340733,-0.0201503593766387,-0.00636615429150777,0.000163468917109655
"10","slope","Suburban","Winter",-0.10812023824781,-0.114383642427611,-0.101856834068009,2.6283741289881e-241
"11","slope","Urban","Summer",-0.00495887053772059,-0.0125479514447697,0.00263021036932855,0.200287313852665
"12","slope","Urban","Winter",-0.0777783886243589,-0.0850278194447846,-0.0705289578039331,1.08094183574303e-96
"13","slope","Natural","Summer",-0.0477631347566723,-0.0552547774807457,-0.0402714920325989,1.20285372988356e-35
"14","slope","Natural","Winter",-0.162170797200461,-0.171003294787754,-0.153338299613167,2.31179139628059e-271
"15","slope","Suburban","Summer",-0.0143590833332701,-0.0212722385490113,-0.00744592811752898,4.70028766349946e-05
"16","slope","Suburban","Winter",-0.108372318237217,-0.114655635733434,-0.102089000741001,6.43208534837497e-241
"17","slope","Urban","Summer",-0.00679116488911422,-0.0144060552797198,0.000823725501491374,0.080468643952238
"18","slope","Urban","Winter",-0.0783499080285398,-0.0856224674475027,-0.0710773486095769,1.81513034788526e-97
