"","abslat","urban2","Slope","conf.low","conf.high","p.value"
"1","slope","Natural",-0.0561244094455538,-0.0588612960817363,-0.0533875228093714,0
"2","slope","Suburban",-0.0443458372266949,-0.0487846594915647,-0.039907014961825,6.66235390766389e-85
"3","slope","Urban",-0.033060138461771,-0.038671664489746,-0.0274486124337959,8.69933453113785e-31
"4","slope","Natural",-0.0562999945945825,-0.0590329924634803,-0.0535669967256846,0
"5","slope","Suburban",-0.0438131707661902,-0.0482463462628812,-0.0393799952694993,3.88400000373152e-83
"6","slope","Urban",-0.0331461920139744,-0.0387504743111761,-0.0275419097167728,5.15832558628304e-31
"7","slope","Natural",-0.0555792288101999,-0.0583103115974465,-0.0528481460229532,0
"8","slope","Suburban",-0.0444050793266094,-0.0488347363503478,-0.0399754223028711,1.82066717785379e-85
"9","slope","Urban",-0.0336787034206218,-0.0392812801716943,-0.0280761266695493,5.57188134760894e-32
"10","slope","Natural",-0.0562722197006174,-0.0590080657646647,-0.0535363736365702,0
"11","slope","Suburban",-0.0440459121006858,-0.0484855264944058,-0.0396062977069658,9.23345683710192e-84
"12","slope","Urban",-0.0313135014462234,-0.036924535099574,-0.0257024677928728,8.42361879389234e-28
"13","slope","Natural",-0.0561971320559834,-0.0589392835366745,-0.0534549805752923,0
"14","slope","Suburban",-0.0430285786261024,-0.0474782187471412,-0.0385789385050636,1.08004139418472e-79
"15","slope","Urban",-0.0296044392271534,-0.0352280772428792,-0.0239808012114275,6.35779305713253e-25
"16","slope","Natural",-0.0554223166930054,-0.0581558866872178,-0.0526887466987929,0
"17","slope","Suburban",-0.0435462022096103,-0.04797952327179,-0.0391128811474307,3.76832098044363e-82
"18","slope","Urban",-0.0291962157178279,-0.0348018722002267,-0.0235905592354291,1.9724305265619e-24
"19","slope","Natural",-0.0559721593068277,-0.0587098503884227,-0.0532344682252327,0
"20","slope","Suburban",-0.0450798056894538,-0.0495203278290844,-0.0406392835498232,1.36461066211867e-87
"21","slope","Urban",-0.0307570903780935,-0.036368866432236,-0.0251453143239509,7.10722589755255e-27
"22","slope","Natural",-0.0567302022659163,-0.0594634202512915,-0.053996984280541,0
"23","slope","Suburban",-0.0451712083513607,-0.0496076891595117,-0.0407347275432097,4.29919248326827e-88
"24","slope","Urban",-0.0311552298911824,-0.036759848273381,-0.0255506115089838,1.34744457661286e-27
"25","slope","Natural",-0.0560577168863669,-0.0587916611436642,-0.0533237726290696,0
"26","slope","Suburban",-0.0452940663988706,-0.0497301538468223,-0.040857978950919,1.41721847374178e-88
"27","slope","Urban",-0.0333375816844557,-0.0389437086310955,-0.0277314547378158,2.47134462208127e-31
"28","slope","Natural",-0.055944141840455,-0.0586756419862207,-0.0532126416946893,0
"29","slope","Suburban",-0.043459750781757,-0.0478930569447567,-0.0390264446187574,7.80222993862007e-82
"30","slope","Urban",-0.030089015217204,-0.035689144804847,-0.024488885629561,6.82041413675707e-26
"31","slope","Natural",-0.0561526847021217,-0.0588809382908739,-0.0534244311133695,0
"32","slope","Suburban",-0.0448274192029453,-0.0492547869131406,-0.0404000514927501,3.84491804443895e-87
"33","slope","Urban",-0.030921807440083,-0.0365173506145667,-0.0253262642655994,2.71233792951916e-27
"34","slope","Natural",-0.0559349979540516,-0.058663656831068,-0.0532063390770352,0
