"","abslat","urban2","Slope","conf.low","conf.high","p.value"
"1","slope","natural",-0.0011046359263318,-0.00113437511938453,-0.00107489673327906,0
"2","slope","urban",-0.00103381334356511,-0.00108990960950787,-0.000977717077622351,3.13755590757095e-278
"3","slope","suburban",-0.000996356095848437,-0.00104279785125864,-0.000949914340438233,0
"4","slope","natural",-0.00110180643797084,-0.00113133574437056,-0.00107227713157111,0
"5","slope","urban",-0.00103491565257763,-0.00109108090645402,-0.000978750398701248,3.84078185101289e-278
"6","slope","suburban",-0.00100526115790318,-0.00105175149071833,-0.00095877082508802,0
"7","slope","natural",-0.00111304019376508,-0.00114277267375621,-0.00108330771377394,0
"8","slope","urban",-0.00105317063180812,-0.00110897645047102,-0.000997364813145214,2.75152573539474e-291
"9","slope","suburban",-0.000998300997008252,-0.00104495891782894,-0.000951643076187563,0
"10","slope","natural",-0.001109311130112,-0.00113891381124243,-0.00107970844898156,0
"11","slope","urban",-0.00106244324538521,-0.00111856147717449,-0.00100632501359593,4.40446552853368e-293
"12","slope","suburban",-0.000979599539677295,-0.00102586522834864,-0.000933333851005952,0
"13","slope","natural",-0.00111219155567071,-0.00114193219386977,-0.00108245091747166,0
"14","slope","urban",-0.00105593463894735,-0.00111246631518442,-0.000999402962710281,1.5040441041394e-285
"15","slope","suburban",-0.000989567503227015,-0.00103617214856412,-0.000942962857889908,0
"16","slope","natural",-0.00110881322633341,-0.00113847962452839,-0.00107914682813843,0
"17","slope","urban",-0.00103890808214945,-0.00109485201365072,-0.000982964150648183,2.29818769009473e-282
"18","slope","suburban",-0.00101510786780197,-0.00106179283568511,-0.000968422899918842,0
"19","slope","natural",-0.00110521540073542,-0.00113493589622824,-0.00107549490524261,0
"20","slope","urban",-0.00102875590608207,-0.00108457483931,-0.000972936972854138,2.94153283837224e-278
"21","slope","suburban",-0.00100158903924646,-0.00104806037522197,-0.000955117703270947,0
"22","slope","natural",-0.00110411937497386,-0.00113390015865841,-0.0010743385912893,0
"23","slope","urban",-0.001058022992273,-0.00111437091951949,-0.00100167506502652,1.89483522496396e-288
"24","slope","suburban",-0.000994934108230228,-0.00104133298441187,-0.000948535232048588,0
"25","slope","natural",-0.0011092994175936,-0.00113910471309365,-0.00107949412209355,0
"26","slope","urban",-0.00105825723826397,-0.00111444960675524,-0.0010020648697727,4.07054259084787e-290
"27","slope","suburban",-0.00099028090866619,-0.00103676414818707,-0.00094379766914531,0
"28","slope","natural",-0.00111046757781457,-0.00114007154971401,-0.00108086360591512,0
"29","slope","urban",-0.00108354259298372,-0.00113991685891006,-0.00102716832705739,9.33712674338104e-302
"30","slope","suburban",-0.00099055424747303,-0.00103685050443326,-0.000944257990512796,0
"31","slope","natural",-0.00111514441947725,-0.00114471899911136,-0.00108556983984313,0
"32","slope","urban",-0.0010582521604399,-0.00111393451591882,-0.00100256980496098,2.88803647040971e-295
"33","slope","suburban",-0.000987481956282097,-0.00103407389967647,-0.00094089001288772,0
"34","slope","natural",-0.00110658567841183,-0.00113649822402891,-0.00107667313279475,0
"35","slope","urban",-0.00106374420483542,-0.00112037147854914,-0.0010071169311217,1.06693073899913e-288
"36","slope","suburban",-0.000998103132087605,-0.00104463824822002,-0.000951568015955189,0
"37","slope","natural",-0.00111482759598721,-0.00114470683418132,-0.0010849483577931,0
"38","slope","urban",-0.0010813363690287,-0.00113739235963741,-0.00102528037841998,7.13673851672426e-304
"39","slope","suburban",-0.00101607985928145,-0.00106318580252707,-0.000968973916035824,0
"40","slope","natural",-0.00110660495098337,-0.00113631470301696,-0.00107689519894978,0
"41","slope","urban",-0.00104808606802405,-0.00110420695884065,-0.000991965177207452,1.8607018979141e-285
"42","slope","suburban",-0.000994197606766318,-0.00104070654514254,-0.000947688668390095,0
"43","slope","natural",-0.00110577790359836,-0.00113541775051524,-0.00107613805668147,0
"44","slope","urban",-0.00105911899658116,-0.00111488908835226,-0.00100334890481007,7.77924863804354e-295
"45","slope","suburban",-0.000987104752683646,-0.00103376098373784,-0.000940448521629453,0
"46","slope","natural",-0.00109967930892707,-0.00112921649325256,-0.00107014212460159,0
"47","slope","urban",-0.00101344569460854,-0.00106903440179039,-0.000957856987426684,1.77531589509531e-272
"48","slope","suburban",-0.00100137067524956,-0.00104831870910177,-0.000954422641397354,0
"49","slope","natural",-0.00111164400120914,-0.00114141100900239,-0.00108187699341589,0
"50","slope","urban",-0.00102806613759416,-0.0010842725007549,-0.000971859774433425,3.30751434430841e-274
"51","slope","suburban",-0.000994488280433949,-0.00104086218346647,-0.000948114377401431,0
"52","slope","natural",-0.00110053130264276,-0.00113027941861711,-0.0010707831866684,0
"53","slope","urban",-0.00102291180795746,-0.00107890107977608,-0.000966922536138854,1.35445702123056e-273
"54","slope","suburban",-0.00100180887414766,-0.00104850196292687,-0.000955115785368453,0
"55","slope","natural",-0.00111515245495427,-0.00114486468119059,-0.00108544022871795,0
