"","abslat","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1",0,"natural",9.58451493910561,0,Inf,9.48412459378503,9.68596792561505
"2",0,"suburban",11.2909061237143,0,Inf,11.1284785753594,11.4557044101972
"3",0,"urban",11.9372862483908,0,Inf,11.7317700527353,12.1464026600825
"4",5,"natural",9.88971943599585,0,Inf,9.79872014866123,9.98156382046252
"5",5,"suburban",11.539146229995,0,Inf,11.3939877642666,11.6861540026217
"6",5,"urban",12.257858564046,0,Inf,12.0736120560481,12.4449167224061
"7",10,"natural",10.2046427121372,0,Inf,10.1235540814445,10.2863808544515
"8",10,"suburban",11.7928441046505,0,Inf,11.6654277461646,11.9216521762192
"9",10,"urban",12.587039755071,0,Inf,12.4244746416774,12.7517319134186
"10",15,"natural",10.5295942474721,0,Inf,10.4588382559873,10.600828916436
"11",15,"suburban",12.0521197413278,0,Inf,11.9426763639971,12.1625660641019
"12",15,"urban",12.9250610102848,0,Inf,12.783997581859,13.067680985535
"13",20,"natural",10.8648933768673,0,Inf,10.8046783261769,10.9254440092586
"14",20,"suburban",12.3170957718352,0,Inf,12.2253688807004,12.4095108894473
"15",20,"urban",13.2721597270146,0,Inf,13.1512899734786,13.3941403599661
"16",25,"natural",11.2108696039295,0,Inf,11.1609345216351,11.2610281005303
"17",25,"suburban",12.5878975241452,0,Inf,12.5126085769724,12.6636394884112
"18",25,"urban",13.6285796778229,0,Inf,13.5244732173867,13.7334875118084
"19",30,"natural",11.5678629248131,0,Inf,11.5268984102298,11.6089730198809
"20",30,"suburban",12.8646530816713,0,Inf,12.8023676701086,12.9272415209702
"21",30,"urban",13.9945711817127,0,Inf,13.9002523972458,14.0895299569401
"22",35,"natural",11.9362241623399,0,Inf,11.9007551454785,11.9717988910777
"23",35,"suburban",13.1474933438492,0,Inf,13.0909499011724,13.2042810133341
"24",35,"urban",14.3703912799305,0,Inf,14.2748575520026,14.4665643622715
"25",40,"natural",12.3163153107581,0,Inf,12.2799519072331,12.352786393623
"26",40,"suburban",13.4365520880492,0,Inf,13.3750447909956,13.4983422363119
"27",40,"urban",14.7563039164898,0,Inf,14.6471941616538,14.8662264507884
"28",45,"natural",12.7085098914796,0,Inf,12.664118389648,12.7530569987291
"29",45,"suburban",13.73196603285,0,Inf,13.6557468545746,13.8086106263883
"30",45,"urban",15.1525801235431,0,Inf,15.0197728346781,15.2865617161855
"31",50,"natural",13.1131933201451,0,Inf,13.0556213067489,13.1710192116717
"32",50,"suburban",14.0338749027039,0,Inf,13.9366170632583,14.1318114640582
"33",50,"urban",15.5594982117317,0,Inf,15.3958854231242,15.7248497210339
"34",55,"natural",13.5307632853783,0,Inf,13.4567422489007,13.6051914868101
"35",55,"suburban",14.342421494023,0,Inf,14.2202354261771,14.4656574344433
"36",55,"urban",15.9773439656476,0,Inf,15.7778804192468,16.1793291249196
