"","term","value","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1","urban2","Natural","Natural",128.744401913448,0,Inf,127.349916800814,130.146480334493
"2","urban2","Suburban","Suburban",106.017119073072,0,Inf,103.60335436759,108.45867902728
"3","urban2","Urban","Urban",92.4815488443707,0,Inf,89.7497977500407,95.2542527355917
"4","urban2","Natural","Natural",129.176175978772,0,Inf,127.77025309213,130.589791651669
"5","urban2","Suburban","Suburban",106.466547300339,0,Inf,104.057030927741,108.903642338207
"6","urban2","Urban","Urban",93.3280237997145,0,Inf,90.5194862728033,96.1794683167143
"7","urban2","Natural","Natural",129.261858492107,0,Inf,127.872551250776,130.658672269415
"8","urban2","Suburban","Suburban",105.742436318838,0,Inf,103.301870455744,108.211496450945
"9","urban2","Urban","Urban",93.2080281190421,0,Inf,90.4430025864611,96.0146858683159
"10","urban2","Natural","Natural",128.893483421732,0,Inf,127.491569939255,130.30306262449
"11","urban2","Suburban","Suburban",106.297619445542,0,Inf,103.941118533858,108.680534475893
"12","urban2","Urban","Urban",92.1644559003912,0,Inf,89.399237593202,94.9717909744009
"13","urban2","Natural","Natural",129.208473709071,0,Inf,127.803442514642,130.621185976954
"14","urban2","Suburban","Suburban",106.787876334464,0,Inf,104.414937042152,109.187477291486
"15","urban2","Urban","Urban",94.1735139269698,0,Inf,91.3743569036543,97.0149011621105
"16","urban2","Natural","Natural",128.822572392152,0,Inf,127.424781575577,130.227988004344
"17","urban2","Suburban","Suburban",105.144653684863,0,Inf,102.745729784855,107.571260575152
"18","urban2","Urban","Urban",92.0512501816605,0,Inf,89.327950889483,94.8154404746224
"19","urban2","Natural","Natural",128.424196478845,0,Inf,127.030541139483,129.825455081609
"20","urban2","Suburban","Suburban",107.770739207377,0,Inf,105.319339022566,110.250341370214
"21","urban2","Urban","Urban",93.1344034676987,0,Inf,90.4080634819381,95.9012427443845
"22","urban2","Natural","Natural",128.958050331496,0,Inf,127.561004055806,130.362705214562
"23","urban2","Suburban","Suburban",106.293450206172,0,Inf,103.845478760143,108.769939773764
"24","urban2","Urban","Urban",92.2502236225254,0,Inf,89.5305918415071,95.0105462263966
"25","urban2","Natural","Natural",128.182185278881,0,Inf,126.793583445814,129.578349514281
"26","urban2","Suburban","Suburban",104.490385632171,0,Inf,102.123357083269,106.884532454658
"27","urban2","Urban","Urban",92.1315802522053,0,Inf,89.3196087529433,94.987131838002
"28","urban2","Natural","Natural",128.609655490769,0,Inf,127.216074125896,130.010828286852
"29","urban2","Suburban","Suburban",106.508793607334,0,Inf,104.0458752043,109.000522459477
"30","urban2","Urban","Urban",92.6932000931775,0,Inf,90.0022964194932,95.4237399674052
"31","urban2","Natural","Natural",128.150940122939,0,Inf,126.763395412466,129.546037545503
"32","urban2","Suburban","Suburban",105.864227961062,0,Inf,103.430842783932,108.325906033582
"33","urban2","Urban","Urban",91.7484935765913,0,Inf,88.9489173988386,94.5914466744782
"34","urban2","Natural","Natural",128.763092271143,0,Inf,127.360287086616,130.173580772785
"35","urban2","Suburban","Suburban",104.831964786302,0,Inf,102.487322995328,107.203123747853
"36","urban2","Urban","Urban",94.1069182820601,0,Inf,91.2402024851644,97.0179754799234
"37","urban2","Natural","Natural",129.082861918069,0,Inf,127.685814472928,130.487510586365
"38","urban2","Suburban","Suburban",105.603000489434,0,Inf,103.249034627448,107.983498682156
"39","urban2","Urban","Urban",93.0899144485404,0,Inf,90.292107518573,95.9304092008797
"40","urban2","Natural","Natural",129.101676906813,0,Inf,127.701256357144,130.509734410903
"41","urban2","Suburban","Suburban",105.056975371648,0,Inf,102.623232803559,107.519239224001
"42","urban2","Urban","Urban",92.4868773272311,0,Inf,89.757118364603,95.2575265368539
"43","urban2","Natural","Natural",128.894798279885,0,Inf,127.502126115633,130.295035082704
"44","urban2","Suburban","Suburban",106.261550648139,0,Inf,103.788210158732,108.76401578503
"45","urban2","Urban","Urban",94.3882956738926,0,Inf,91.5987670069193,97.2196654654131
"46","urban2","Natural","Natural",129.05066557464,0,Inf,127.649378570264,130.459602051394
"47","urban2","Suburban","Suburban",107.135740756727,0,Inf,104.688031968268,109.611734747783
"48","urban2","Urban","Urban",91.7811498532978,0,Inf,89.0281166649235,94.5761036313422
"49","urban2","Natural","Natural",128.666977987298,0,Inf,127.274980749618,130.066545967377
