"","urban2","season","estimate","p.value","s.value","conf.low","conf.high"
"1","Natural","Summer",98.910680011045,0,Inf,96.9899873181771,100.850204437001
"2","Natural","Winter",85.509585287668,0,Inf,82.8770121822127,88.1833188227832
"3","Suburban","Summer",75.5402339917199,0,Inf,72.6583852207906,78.4781280730026
"4","Suburban","Winter",69.90176400173,0,Inf,66.7752177371006,73.0998407506666
"5","Urban","Summer",65.6314322646741,0,Inf,62.8939515578529,68.4272255824945
"6","Urban","Winter",65.0123044926368,0,Inf,62.1467075905388,67.9424873671147
"7","Natural","Summer",98.73316015065,0,Inf,96.8056430030066,100.679678195062
"8","Natural","Winter",84.7021744870062,0,Inf,82.1002929113894,87.3446441887348
"9","Suburban","Summer",74.979776419955,0,Inf,72.1176832928881,77.8975629119631
"10","Suburban","Winter",70.4315651942953,0,Inf,67.2375298171263,73.6997147742091
"11","Urban","Summer",65.8041338053908,0,Inf,63.0958746841341,68.569301201455
"12","Urban","Winter",64.707336716901,0,Inf,61.8545819690592,67.6244018330725
"13","Natural","Summer",99.0022209395311,0,Inf,97.0805728393347,100.942702003191
"14","Natural","Winter",85.305527593597,0,Inf,82.6719552309831,87.9803919766069
"15","Suburban","Summer",75.2421358922559,0,Inf,72.3524244345604,78.1884296025634
"16","Suburban","Winter",69.9981063322839,0,Inf,66.9008895543963,73.1654038257658
"17","Urban","Summer",65.8641100882115,0,Inf,63.1505649201561,68.6347351342475
"18","Urban","Winter",65.683209016991,0,Inf,62.7843964043708,68.647440335263
"19","Natural","Summer",98.7848156327941,0,Inf,96.8597488638298,100.728824771959
"20","Natural","Winter",85.1640458954692,0,Inf,82.5652848194268,87.8030740164006
"21","Suburban","Summer",75.1131534459562,0,Inf,72.3082224710642,77.9714576165566
"22","Suburban","Winter",70.5510250948363,0,Inf,67.4184997683278,73.7546819255932
"23","Urban","Summer",65.1404599513741,0,Inf,62.386731702166,67.9536571131336
"24","Urban","Winter",64.3915374195308,0,Inf,61.4885963251208,67.3614325873031
"25","Natural","Summer",98.4911809444317,0,Inf,96.5761361470828,100.425026866444
"26","Natural","Winter",84.6498408874926,0,Inf,82.0711305541105,87.2684390927277
"27","Suburban","Summer",75.7866553753321,0,Inf,72.8596573775633,78.7712945466119
"28","Suburban","Winter",68.9292191452388,0,Inf,65.8011908223229,72.129880514259
"29","Urban","Summer",64.9729431703544,0,Inf,62.3286008529922,67.6722204125561
"30","Urban","Winter",64.6993566067938,0,Inf,61.8186130413189,67.6457015994803
