"","checklist_id","SCIENTIFIC.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","DURATION.MINUTES","EFFORT.DISTANCE.KM","GROUP.IDENTIFIER","cell"
"1","NA","Bubo scandiacus","1",46.839088,-71.196084,"2017-02-03","obsr18893,obsr452349,obsr237522,obsr237522,obsr512488,obsr364972,obsr511887,obsr47210,obsr292435,obsr518395,obsr211340,obsr509930,obsr613658,obsr131659,obsr550508,obsr550508,obsr432931,obsr661213,obsr437708,obsr445325,obsr236631,obsr772529,obsr745123,obsr358645,obsr375695,obsr535845,obsr621655,obsr161081,obsr551067,obsr401157,obsr647382,obsr647382,obsr643582,obsr179945,obsr818108,obsr725848,obsr490032,obsr725848,obsr108916,obsr108916,obsr211340,obsr236631,obsr352087,obsr324283,obsr279552,obsr108916,obsr108916,obsr263672,obsr21460,obsr33630,obsr357808,obsr357808,obsr413774,obsr357808,obsr272043,obsr23806,obsr401157,obsr607209,obsr108916,obsr108916,obsr643582,obsr234748,obsr330150,obsr747133,obsr263827,obsr33630,obsr117116,obsr831395,obsr567111,obsr542830,obsr237522,obsr237522,obsr237522,obsr237522,obsr320530,obsr647382,obsr511375,obsr565390,obsr565390,obsr236631,obsr168940,obsr551067,obsr441069,obsr117519,obsr237522,obsr344894,obsr638152,obsr542830,obsr237522,obsr237522,obsr237522,obsr619388,obsr237522,obsr364972,obsr236631,obsr606507,obsr606507,obsr45808,obsr741987,obsr357808,obsr212429,obsr549115,obsr549115,obsr549115,obsr509930,obsr741286,obsr108713,obsr504721,obsr837992,obsr745123,obsr745123,obsr108713,obsr108713,obsr108713,obsr108713,obsr108713,obsr383486,obsr436227,obsr772529,obsr772529,obsr772529,obsr643582,obsr108916,obsr108916,obsr428612,obsr509757,obsr505094,obsr350679,obsr843252,obsr843252,obsr843252,obsr843252,obsr658413,obsr237522,obsr524310,obsr358783,obsr33630,obsr335718,obsr824800,obsr619388,obsr620482,obsr608646,obsr608646,obsr772529,obsr676932,obsr292435,obsr504721,obsr246103,obsr383104,obsr445468,obsr131861,obsr131861,obsr436823,obsr436823,obsr253272,obsr253272,obsr358858,obsr301972,obsr338994,obsr234748,obsr772529,obsr507682,obsr509930,obsr509930,obsr355466,obsr150556,obsr150556,obsr253272,obsr253272,obsr253272,obsr131861,obsr131861,obsr745123,obsr163440,obsr559890,obsr559890,obsr676137,obsr150889,obsr826411,obsr108679,obsr510352,obsr117116,obsr179756,obsr436154,obsr641716,obsr357808,obsr383104,obsr546048,obsr236631,obsr236631,obsr837992,obsr31813,obsr275421,obsr644718,obsr600191,obsr237522,obsr499666,obsr428612,obsr553217,obsr745123,obsr365693,obsr761816,obsr383104,obsr108915,obsr272043,obsr237522,obsr347079,obsr617503,obsr747797,obsr846893,obsr504721,obsr399255,obsr358783,obsr846634,obsr546048,obsr511375,obsr108844,obsr309411,obsr308424,obsr501459,obsr499485,obsr546048,obsr29626,obsr656530,obsr150693,obsr352087,obsr546048,obsr45030,obsr358783,obsr117116,obsr41840,obsr498089,obsr236631,obsr236631,obsr236631,obsr274477,obsr430039,obsr432931,obsr838017,obsr318232,obsr150693,obsr426066,obsr320327,obsr320327,obsr320327,obsr795658,obsr292435,obsr28980,obsr605278,obsr511198,obsr309655,obsr729766,obsr550542,obsr396126,obsr676137,obsr456968,obsr33630,obsr236631,obsr236631,obsr236631,obsr236631,obsr236631,obsr441069,obsr335875,obsr694138,obsr108915,obsr505951,obsr725848,obsr436154,obsr237522,obsr293952,obsr296203,obsr503898,obsr107164,obsr107164,obsr237522,obsr107164,obsr506175,obsr447822,obsr511887,obsr108679,obsr21712,obsr501241,obsr501241,obsr327931,obsr327931,obsr360722,obsr236631,obsr236631,obsr236631,obsr236631,obsr280244,obsr830508,obsr401157,obsr236631,obsr606657,obsr553217,obsr309800,obsr303979,obsr628608,obsr772529,obsr553217,obsr277194,obsr350470,obsr750246,obsr456968,obsr117116,obsr750246,obsr542830,obsr396126,obsr312067,obsr31813,obsr108916,obsr306715,obsr236631,obsr236631,obsr236631,obsr451524,obsr772529,obsr606657,obsr23145,obsr23145,obsr23145,obsr532828,obsr624071,obsr319036,obsr546048,obsr401157,obsr438753,obsr451524,obsr542830,obsr542830,obsr542830,obsr117519,obsr33630,obsr113041,obsr352087,obsr367408,obsr829112,obsr200932,obsr292975,obsr335875,obsr522929,obsr332345,obsr171796,obsr367408,obsr540044,obsr437708,obsr332345,obsr236631,obsr236631,obsr306715,obsr873906,obsr772529,obsr108916,obsr875434,obsr47210,obsr772529,obsr236631,obsr463715,obsr882672,obsr676137,obsr851049,obsr44100,obsr522929,obsr772529,obsr772529,obsr535150,obsr306715,obsr47210,obsr301194,obsr772529,obsr236631,obsr237522,obsr308400,obsr419064,obsr624071,obsr335505,obsr335505,obsr236631,obsr498115,obsr559033,obsr333078,obsr451524,obsr628608,obsr772529,obsr237522,obsr676943,obsr401610,obsr772529,obsr641716,obsr535845,obsr516205,obsr516205,obsr350679,obsr376390,obsr367408,obsr851049,obsr851049,obsr842018,obsr887091,obsr352087,obsr498115,obsr144292,obsr24134,obsr420647,obsr855156,obsr352087,obsr418888,obsr225182,obsr418888,obsr700190,obsr179756,obsr624071,obsr297705,obsr309839,obsr543014,obsr638152,obsr45808,obsr550547,obsr516479,obsr426066,obsr426066,obsr426066,obsr426066,obsr984683,obsr631642,obsr352087,obsr352087,obsr121486,obsr108698,obsr542074,obsr364972,obsr745123,obsr506175,obsr318232,obsr21460,obsr275794,obsr47210,obsr776168,obsr926210,obsr607615,obsr747797,obsr499353,obsr438753,obsr309655,obsr325946,obsr853315,obsr241447,obsr436823,obsr676865,obsr669135,obsr505977,obsr505977,obsr21460,obsr827939,obsr365430,obsr344535,obsr542074,obsr509757,obsr451608,obsr760878,obsr419064,obsr458088,obsr487153,obsr258957,obsr868991,obsr426785,obsr511887,obsr237522,obsr301832,obsr301832,obsr108844,obsr897683,obsr789523,obsr179735,obsr778967,obsr606507,obsr225182,obsr437823,obsr897683,obsr639462,obsr41493,obsr357808,obsr428612,obsr41493,obsr549115,obsr451524,obsr238659,obsr114304,obsr114304,obsr624071,obsr568955,obsr883807,obsr535466,obsr376390,obsr117116,obsr169089,obsr16727,obsr327931,obsr401915,obsr392218,obsr505870,obsr435756,obsr375695,obsr179756,obsr236631,obsr778967,obsr426066,obsr375695,obsr383486,obsr108916,obsr606507,obsr662038,obsr338994,obsr357785,obsr323614,obsr355940,obsr323614,obsr510352,obsr676865,obsr179756,obsr323614,obsr498232,obsr352087,obsr419064,obsr487153,obsr638152,obsr638152,obsr811309,obsr179945,obsr108916,obsr108916,obsr883807,obsr826823,obsr524310,obsr5728,obsr524579,obsr546048,obsr327931,obsr310680,obsr108915,obsr238659,obsr735020,obsr368197,obsr521038,obsr662038,obsr511966,obsr639462,obsr948626,obsr399255,obsr355940,obsr441069,obsr725847,obsr58975,obsr725848,obsr60015,obsr440701,obsr457562,obsr301832,obsr208117,obsr510037,obsr498646,obsr826960,obsr883807,obsr883807,obsr537671,obsr662038,obsr648812,obsr806195,obsr335285,obsr275794,obsr401157,obsr28980,obsr826960,obsr510352,obsr555178,obsr451524,obsr309891,obsr761346,obsr966539,obsr108915,obsr108687,obsr364972,obsr364972,obsr419064,obsr840912,obsr605127,obsr619559,obsr108916,obsr927741,obsr451524,obsr338994,obsr723298,obsr401756,obsr179945,obsr117116,obsr444083,obsr840988,obsr548010,obsr437708,obsr150693,obsr451524,obsr306715,obsr399255,obsr627969,obsr375695,obsr761816,obsr932074,obsr108679,obsr108916,obsr108916,obsr179945,obsr831614,obsr722171,obsr237522,obsr237522,obsr648812,obsr200932,obsr336999,obsr237522,obsr906387,obsr169089,obsr630703,obsr838017,obsr230341,obsr230341,obsr209179,obsr932074,obsr292191,obsr432931,obsr108916,obsr212429,obsr110931,obsr518239,obsr992866,obsr408665,obsr569535,obsr501459,obsr985015,obsr352087,obsr838017,obsr897683,obsr643379,obsr328340,obsr108774,obsr441069,obsr441069,obsr352087,obsr352087,obsr352087,obsr891824,obsr501309,obsr18235,obsr626098,obsr108915,obsr792569,obsr981026,obsr921327,obsr606657,obsr676137,obsr895028,obsr553217,obsr544495,obsr606657,obsr448234,obsr676137,obsr106813,obsr108704,obsr902325,obsr902325,obsr895028,obsr295215,obsr606507,obsr108916,obsr163440,obsr906387,obsr906387,obsr511155,obsr518395,obsr153047,obsr364393,obsr906387,obsr638152,obsr223354,obsr426066,obsr823028,obsr352087,obsr357808,obsr501309,obsr376390,obsr108915,obsr108915,obsr108915,obsr411093,obsr932074,obsr970787,obsr337858,obsr524310,obsr540044,obsr437708,obsr364393,obsr501412,obsr327931,obsr605127,obsr686617,obsr823028,obsr117519,obsr836238,obsr368197,obsr411093,obsr624071,obsr437708,obsr551067,obsr551067,obsr237522,obsr237522,obsr809113,obsr108679,obsr108679,obsr646842,obsr328340,obsr339906,obsr177950,obsr498115,obsr498115,obsr498115,obsr509129,obsr433404,obsr902325,obsr678566,obsr736311,obsr830531,obsr650413,obsr144292,obsr844332,obsr778108,obsr778108,obsr756309","S115854982,S33325170,S33338637,S33341810,S33342002,S33345920,S33346370,S33346653,S33348241,S33350489,S33357146,S33358147,S33365691,S33369468,S33371543,S33373167,S33378024,S33380715,S33383738,S33384140,S33387511,S33388373,S33393764,S33397421,S33410189,S33412525,S33412576,S33415133,S33419134,S33419415,S33420147,S33420323,S33443834,S33444225,S33447848,S33449475,S33449602,S33450059,S33450214,S33450352,S33465066,S33465193,S33468766,S33469556,S33469709,S33471951,S33472294,S33479081,S33482052,S33482388,S33489143,S33489344,S33489361,S33489434,S33489589,S33491342,S33492797,S33492809,S33493035,S33493197,S33494986,S33497265,S33497332,S33502352,S33503232,S33503298,S33504055,S33510105,S33511887,S33512612,S33513182,S33513197,S33513267,S33513439,S33513972,S33517477,S33518079,S33520345,S33520453,S33522376,S33523868,S33529002,S33531356,S33533404,S33535692,S33539781,S33540047,S33541375,S33542174,S33542722,S33542761,S33543833,S33543860,S33544280,S33544563,S33544983,S33545053,S33547421,S33547998,S33550693,S33552134,S33553913,S33554119,S33554268,S33554958,S33561116,S33564251,S33568142,S33568718,S33574806,S33574818,S33575367,S33575413,S33575550,S33575566,S33575577,S33580583,S33581977,S33586518,S33586708,S33586910,S33589273,S33615781,S33616111,S33621015,S33623562,S33631721,S33635144,S33641485,S33641708,S33641771,S33642343,S33643568,S33645561,S33647581,S33648451,S33656031,S33656509,S33660782,S33662671,S33664313,S33664640,S33665140,S33666392,S33666642,S33666774,S33667028,S33668429,S33671406,S33674027,S33674248,S33674252,S33675836,S33675906,S33681149,S33681240,S33688218,S33688824,S33696697,S33697379,S33697815,S33698640,S33698754,S33700031,S33702961,S33705370,S33705428,S33707157,S33707407,S33707452,S33707929,S33707930,S33709264,S33713948,S33717898,S33718237,S33722331,S33724572,S33728332,S33731199,S33734197,S33745528,S33748108,S33750187,S33752075,S33754603,S33770271,S33773189,S33781608,S33781991,S33789261,S33789781,S33793615,S33800228,S33808608,S33809635,S33810719,S33811416,S33811682,S33814966,S33823389,S33825637,S33829765,S33829964,S33830436,S33831817,S33847169,S33849470,S33857411,S33857967,S33859740,S33862117,S33867566,S33888152,S33894667,S33894724,S33894730,S33903394,S33904514,S33913813,S33920897,S33932568,S33941716,S33947569,S33948412,S33949374,S33951368,S33954231,S33954885,S33962063,S33967228,S33967858,S33969199,S33970782,S33971210,S33971613,S33971942,S33988615,S33994768,S34003914,S34008656,S34024132,S34029791,S34030943,S34031444,S34032175,S34035749,S34038987,S34053093,S34053814,S34056009,S34057821,S34059451,S34060774,S34061886,S34062028,S34076947,S34077238,S34077641,S34077915,S34078333,S34078671,S34080591,S34091424,S34093286,S34096647,S34097463,S34099066,S34110777,S34130165,S34130980,S34138736,S34146001,S34147611,S34148114,S34148784,S34148885,S34149856,S34156952,S34157502,S34162960,S34173554,S34188082,S34188156,S34218465,S34218494,S34219753,S34238706,S34239015,S34239260,S34239464,S34249125,S34261028,S34264814,S34266791,S34267087,S34269796,S34274550,S34274754,S34279453,S34283552,S34287818,S34301856,S34301865,S34303239,S34311742,S34314710,S34317777,S34319312,S34326962,S34338271,S34352952,S34356369,S34360731,S34363605,S34364093,S34366140,S34387609,S34392131,S34403185,S34405593,S34406190,S34406755,S34407957,S34410862,S34410868,S34419946,S34426275,S34426454,S34426928,S34438205,S34438475,S34438544,S34448668,S34456208,S34459471,S34468452,S34475885,S34484277,S34509857,S34514864,S34521307,S34531304,S34538368,S34549047,S34550403,S34572682,S34580851,S34581455,S34588270,S34594214,S34595029,S34611880,S34628608,S34635241,S34645144,S34650324,S34654851,S34660698,S34661115,S34668580,S34702147,S34743329,S34743796,S34766777,S34773228,S34796796,S34799269,S34822440,S34823976,S34826595,S34827115,S34827638,S34828916,S34829971,S34830757,S34831821,S34832557,S34832744,S34834554,S34837884,S34837951,S34840637,S34843370,S34852083,S34854268,S34868255,S34869359,S34873573,S34877827,S34879292,S34880128,S34883497,S34886133,S34894849,S34925092,S34930181,S34976682,S34976835,S34995656,S35004743,S35441615,S35680754,S36203437,S36456980,S38706439,S39984059,S40836667,S40837089,S40837096,S40840442,S40841565,S40842629,S40843418,S40845030,S40846196,S40846594,S40846631,S40847023,S40847796,S40848636,S40850018,S40850133,S40850236,S40850554,S40851529,S40854454,S40855433,S40857986,S40860581,S40863435,S40864051,S40864228,S40864952,S40865217,S40866176,S40866426,S40867104,S40867246,S40870125,S40870563,S40873304,S40873627,S40878517,S40882146,S40883794,S40884663,S40884919,S40885782,S40890095,S40890162,S40890173,S40890822,S40891275,S40891473,S40891683,S40892550,S40892724,S40892808,S40893319,S40893659,S40893798,S40893853,S40893963,S40896886,S40897560,S40902566,S40902846,S40909310,S40909568,S40910608,S40910812,S40910948,S40912234,S40912865,S40914419,S40916405,S40917635,S40920282,S40922222,S40922261,S40922458,S40922713,S40931051,S40931282,S40934960,S40936988,S40940239,S40942472,S40945445,S40945491,S40946030,S40946083,S40946827,S40947258,S40949477,S40955504,S40959784,S40961827,S40963098,S40963144,S40963510,S40970216,S40970547,S40973707,S40973912,S40974477,S40976059,S40976665,S40977289,S40978189,S40980732,S40981534,S40982746,S40982882,S40985436,S40986815,S40986918,S40987852,S40990585,S40991222,S40991347,S40992867,S40994464,S40994692,S40995073,S40995320,S40995566,S40995701,S40997791,S40999257,S40999507,S40999918,S41000083,S41004340,S41004571,S41007844,S41008881,S41010748,S41014093,S41014520,S41015522,S41017345,S41018676,S41019946,S41022091,S41023776,S41025518,S41028764,S41031416,S41033873,S41034315,S41035072,S41035344,S41037292,S41039237,S41039487,S41044445,S41046245,S41047397,S41050303,S41053867,S41053907,S41055594,S41059304,S41059445,S41062770,S41064945,S41065313,S41070992,S41071811,S41082357,S41085166,S41094571,S41096878,S41097170,S41099777,S41100066,S41101692,S41122679,S41122755,S41125954,S41130071,S41145584,S41145672,S41146501,S41146879,S41147950,S41157239,S41157935,S41162468,S41172822,S41177109,S41184445,S41185920,S41192878,S41193127,S41194047,S41203841,S41205988,S41210299,S41216336,S41216921,S41226447,S41234860,S41235606,S41235927,S41236188,S41236856,S41237442,S41239986,S41240105,S41241648,S41245139,S41245354,S41249256,S41249611,S41256237,S41256543,S41259316,S41263028,S41263348,S41263643,S41264117,S41265803,S41267201,S41268926,S41269234,S41273975,S41275750,S41276060,S41278709,S41279968,S41286589,S41289527,S41290022,S41291794,S41296115,S41297142,S41299556,S41301150,S41303126,S41308064,S41309750,S41310774,S41313899,S41317495,S41317507,S41319048,S41319050,S41319053,S41324226,S41327124,S41328445,S41330638,S41332727,S41333237,S41341393,S41345466,S41347007,S41355742,S41356155,S41357326,S41361245,S41371739,S41373282,S41373992,S41379293,S41380879,S41381979,S41382121,S41386370,S41386875,S41388472,S41390401,S41391307,S41393269,S41393278,S41405506,S41405926,S41407078,S41407344,S41409222,S41410639,S41411743,S41414496,S41415736,S41416590,S41416693,S41419694,S41424480,S41425136,S41425331,S41436278,S41438346,S41438927,S41439457,S41441076,S41443198,S41444861,S41446557,S41447548,S41447608,S41447654,S41448213,S41448320,S41451366,S41452271,S41458563,S41459646,S41464972,S41473535,S41474031,S41474478,S41475270,S41475741,S41475825,S41479688,S41479767,S41479889,S41480770,S41484076,S41502558,S41572424,S41579713,S41579772,S41579825,S41591104,S41728158,S41773790,S41952184,S42018234,S46154687,S46467521,S47670900,S48230066,S50164744,S50378862,S52078459",5,"1.69","NA",124892212
"2","G2110068","Dryocopus pileatus","1",45.3711229,-75.7915535,"2017-01-01","obsr335875,obsr680567,obsr451524","S33337096,S33347295,S33349011",23,"0.7","G2110068",130592703
"3","G2110068","Poecile atricapillus","6",45.3711229,-75.7915535,"2017-01-01","obsr335875,obsr680567,obsr451524","S33337096,S33347295,S33349011",23,"0.7","G2110068",130592703
"4","G2110068","Anas platyrhynchos","60",45.3711229,-75.7915535,"2017-01-01","obsr335875,obsr680567,obsr451524","S33337096,S33347295,S33349011",23,"0.7","G2110068",130592703
"5","G2110068","Sturnus vulgaris","25",45.3711229,-75.7915535,"2017-01-01","obsr335875,obsr680567,obsr451524","S33337096,S33347295,S33349011",23,"0.7","G2110068",130592703
"6","G2110068","Falco peregrinus","1",45.3711229,-75.7915535,"2017-01-01","obsr335875,obsr680567,obsr451524","S33337096,S33347295,S33349011",23,"0.7","G2110068",130592703
"7","G2110068","Anas rubripes","1",45.3711229,-75.7915535,"2017-01-01","obsr335875,obsr680567,obsr451524","S33337096,S33347295,S33349011",23,"0.7","G2110068",130592703
"8","G2110068","Columba livia","15",45.3711229,-75.7915535,"2017-01-01","obsr335875,obsr680567,obsr451524","S33337096,S33347295,S33349011",23,"0.7","G2110068",130592703
"9","G2110068","Dryobates pubescens","1",45.3711229,-75.7915535,"2017-01-01","obsr335875,obsr680567,obsr451524","S33337096,S33347295,S33349011",23,"0.7","G2110068",130592703
"10","G2110068","Turdus migratorius","1",45.3711229,-75.7915535,"2017-01-01","obsr335875,obsr680567,obsr451524","S33337096,S33347295,S33349011",23,"0.7","G2110068",130592703
