"X","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X7","X8","X9","X11","X5","X10","X3","X4","X2","X1","X12","square"
22769,380640138,888,562,4175218,146.85958494548,12,226,205,113,74,77,39,91,1,13,13,10,26,"r3c2"
23813,382083295,936,541,3426092,135.713685878392,12,49,71,126,117,128,125,196,9,51,27,22,15,"r3c2"
119179,294187266,1170,532,5724953,148.268750647467,12,43,41,40,50,412,125,128,65,34,57,76,99,"r2c2ABB"
17646,367471572,1050,531,4421146,151.772948849983,12,91,182,213,149,46,40,71,53,49,45,88,23,"r3c2"
317789,278274023,7552,526,33547607,133.746389985249,12,324,414,372,205,660,415,532,1147,592,1030,1135,726,"r2c2AA"
2211,327743070,2619,523,10817359,157.92687164214,12,135,233,194,68,395,32,186,309,162,268,324,313,"r3c2"
169258,301331216,1887,514,7026140,154.825587801062,12,123,137,194,49,299,121,103,251,68,194,165,183,"r2c2ABA"
22223,379593695,206,513,1041328,154.385174203113,11,1,62,1,17,1,9,45,5,4,2,0,59,"r3c2"
317831,278274093,6335,508,27623440,141.487430596816,12,184,332,232,153,623,394,387,1105,404,838,835,848,"r2c2AA"
323157,280944195,5610,504,25835286,137.41442476464,12,246,315,231,184,557,331,644,771,322,592,700,717,"r2c2AA"
20955,377609110,356,489,1246611,127.896891351185,7,0,49,17,76,22,25,166,0,1,0,0,0,"r3c2"
7097,339253705,823,487,1385260,111.795658138972,12,43,473,18,7,5,7,43,161,15,6,22,23,"r3c2"
1536,326696825,1258,484,3601782,135.988144680208,12,135,71,86,51,214,10,85,110,89,155,102,150,"r3c2"
10074,343872469,231,479,620391,121.908233444685,12,3,5,2,31,4,3,10,3,1,56,60,53,"r3c2"
24370,382768842,1187,479,2753561,122.184992900248,12,68,148,220,194,138,64,217,13,58,14,30,23,"r3c2"
171159,303640513,1802,478,6464114,151.900223240512,12,62,109,121,105,225,73,85,232,39,190,374,187,"r2c2ABA"
121174,298444786,1662,478,4876995,144.799590273448,12,42,146,88,73,247,178,35,130,48,251,206,218,"r2c2ABB"
173824,308980524,1587,471,6669566,158.704723378941,12,140,72,135,99,124,56,125,154,119,213,165,185,"r2c2ABA"
65697,191801007,2922,468,3824643,75.4843885687219,12,111,140,140,214,98,303,162,160,142,1164,196,92,"r2c3"
24588,383129854,432,468,1137089,131.928181923657,12,24,13,68,34,46,58,58,8,16,31,27,49,"r3c2"
12912,351809853,710,467,2973987,160.400571705949,12,116,63,79,46,79,47,88,30,19,49,59,35,"r3c2"
118891,293646030,851,461,4704905,175.510314470101,12,38,47,50,54,282,43,52,87,50,41,24,83,"r2c2ABB"
27078,387676372,268,459,1688178,181.680800688765,12,40,25,6,14,20,15,50,16,13,12,20,37,"r3c2"
178286,321825676,1075,457,3676427,168.504308369236,12,22,57,39,11,38,178,61,51,182,89,199,148,"r2c2ABA"
395577,209681433,16896,456,65060790,112.017916450731,12,251,212,330,525,2919,1371,1183,1581,4632,1312,1445,1135,"r2c1"
315631,276289512,2015,456,12859405,138.149876991502,12,107,58,31,54,171,134,127,331,189,241,238,334,"r2c2AA"
65991,192089663,8909,456,6387233,44.7746139232964,12,328,207,134,150,422,388,306,578,544,5166,373,313,"r2c3"
17211,365920037,226,456,1508036,154.765599343186,9,25,34,19,38,4,37,39,8,22,0,0,0,"r3c2"
169290,301403382,2022,455,5150269,99.3263326390496,12,67,149,229,108,292,112,143,265,67,226,153,211,"r2c2ABA"
100313,156246674,28204,454,84135309,105.969737617702,12,1043,911,1280,4809,2466,3595,8196,1375,1656,690,1270,913,"r2c2ABB"
23719,381975052,353,454,1716096,164.645111772043,11,6,95,47,66,42,27,38,4,20,5,3,0,"r3c2"
162953,284047618,4274,452,17651282,156.99099034998,12,216,185,165,240,351,542,483,540,234,401,519,398,"r2c2ABA"
163045,284119785,2905,452,6975740,100.94845301149,12,107,101,112,149,145,202,264,529,248,488,304,256,"r2c2ABA"
163043,284119783,4059,449,7390127,70.4002648300039,12,242,266,184,272,316,315,365,478,211,501,529,380,"r2c2ABA"
124563,302305606,903,447,6179181,183.260602645471,12,21,82,65,53,120,64,115,78,36,70,130,69,"r2c2ABB"
163044,284119784,2375,445,2998376,71.1882048481683,12,174,81,89,147,146,261,258,327,188,269,237,198,"r2c2ABA"
13901,354374174,264,445,1394283,179.606208939843,12,35,11,18,22,29,27,35,4,5,20,39,19,"r3c2"
317265,278021445,2865,443,14099134,174.205327797959,12,170,166,138,151,187,178,178,353,253,403,414,274,"r2c2AA"
317659,278201923,3434,443,9504329,113.919801030804,12,109,253,219,136,321,181,242,354,219,413,576,411,"r2c2AA"
327380,285598817,2783,443,10689415,128.344339452736,12,134,117,104,48,124,173,136,464,132,516,541,294,"r2c2AA"
316145,277011127,924,442,6736108,168.579708694129,12,44,21,35,37,76,80,88,188,78,92,90,95,"r2c2AA"
323543,281160667,960,441,6116756,159.128905538646,12,36,50,68,27,104,94,174,117,71,83,70,66,"r2c2AA"
318890,278851323,4730,440,25333894,188.140671647333,12,195,340,400,173,340,252,222,636,315,795,541,521,"r2c2AA"
323210,280980256,1957,440,8315208,132.820190080664,12,90,82,67,84,201,150,361,210,120,232,176,184,"r2c2AA"
205,324964638,2287,440,6179695,113.898831465644,12,149,131,128,150,228,216,201,262,173,194,195,260,"r3c2"
169799,302125085,2316,437,11145841,166.86389903587,12,160,320,258,86,278,200,117,145,35,259,218,240,"r2c2ABA"
22259,379701943,339,435,1031880,155.146594497068,10,3,25,71,46,68,13,106,2,4,0,1,0,"r3c2"
169275,301367299,1944,432,5278458,132.338615052901,12,100,105,202,72,264,107,143,265,47,236,167,236,"r2c2ABA"
163670,284877627,938,431,7265014,173.983140551285,12,48,63,20,49,67,121,95,124,40,122,130,59,"r2c2ABA"
395599,209717441,14342,429,101046148,167.738454157765,12,237,181,204,333,2256,610,580,1967,1883,1937,2470,1684,"r2c1"
323507,281160582,2909,429,16604035,173.021778773511,12,80,163,103,78,219,165,137,530,200,467,451,316,"r2c2AA"
231,325000721,1419,429,9463408,175.831143977258,12,102,129,98,100,159,112,93,139,99,121,123,144,"r3c2"
317462,278129691,1482,428,6216293,126.700222163341,12,38,91,70,42,77,101,112,204,125,232,259,131,"r2c2AA"
23727,381975237,172,428,983161,164.932226136554,12,14,10,18,10,12,17,44,7,14,8,16,2,"r3c2"
25948,384935240,226,428,1111995,151.456687551076,9,1,45,38,82,27,20,4,0,6,0,0,3,"r3c2"
1690,326841135,929,426,2468176,144.481414271498,12,52,35,84,40,190,15,46,98,15,119,177,58,"r3c2"
17647,367471573,257,425,1737294,172.93390404141,12,21,47,53,42,11,12,19,5,5,13,19,10,"r3c2"
319200,279067877,1051,424,2782534,101.356281644993,12,39,57,63,59,70,57,114,184,57,114,143,94,"r2c2AA"
317469,278129701,2093,423,9114333,135.183367446827,12,56,94,104,65,143,130,160,332,159,315,322,213,"r2c2AA"
317980,278346245,1927,423,9608497,140.757027965369,12,82,78,143,118,139,149,182,214,137,269,194,222,"r2c2AA"
22625,380459832,1064,423,914799,59.9592973716982,12,34,107,75,71,118,75,42,114,43,33,324,28,"r3c2"
126860,304181869,1406,421,4479972,160.405743134376,12,86,89,85,113,158,56,216,79,38,71,141,274,"r2c2ABB"
23730,381975246,349,421,724063,115.979977574884,11,45,29,64,23,16,75,21,11,35,0,6,24,"r3c2"
319892,279500883,1138,420,4425011,163.405132939439,12,75,48,81,48,66,64,135,142,64,144,146,125,"r2c2AA"
323668,281268827,2518,420,5706589,100.684374889728,12,37,106,45,17,166,121,74,555,117,637,392,251,"r2c2AA"
162929,284011536,1285,420,8561252,192.27102656815,12,75,50,33,83,60,73,120,192,70,185,214,130,"r2c2ABA"
170809,324470641,693,420,4384458,155.858590167431,12,73,155,99,36,35,33,35,21,18,58,50,80,"r2c3"
316188,277047206,1383,419,5012606,145.999650482044,12,44,87,70,59,127,89,82,217,192,145,134,137,"r2c2AA"
22946,380784572,222,419,805227,146.112683723462,12,61,21,11,15,48,10,26,7,8,4,9,2,"r3c2"
163290,284372362,1433,417,6322641,121.06540928674,12,67,62,31,105,130,69,119,215,108,226,193,108,"r2c2ABA"
69235,196022786,1368,417,4598980,144.146058611503,12,163,16,5,16,228,141,67,163,235,96,95,143,"r2c3"
52471,431951093,705,417,3192230,155.105679996113,12,28,118,73,92,90,23,114,15,6,64,47,35,"r3c2"
43201,423905295,655,416,3328156,149.553158982655,12,33,82,58,82,134,46,105,24,5,16,9,61,"r3c2"
323569,281196662,1387,414,7102056,127.578788532011,12,58,85,25,22,99,72,54,257,87,235,234,159,"r2c2AA"
162993,284083701,1722,414,5827934,139.470971138659,12,75,57,51,175,103,110,172,226,141,251,232,129,"r2c2ABA"
168099,298769392,746,414,4091400,181.043409000398,12,63,88,43,54,71,94,25,45,35,79,69,80,"r2c2ABA"
179547,324567727,1629,413,8305300,164.889118306895,12,91,183,135,103,247,101,146,96,69,212,118,128,"r2c2ABA"
22654,380495914,435,412,1137617,113.489325618516,12,35,29,29,57,41,21,55,49,13,25,70,11,"r3c2"
162995,284083703,866,411,2863376,110.781754168762,12,44,32,44,62,60,59,60,88,65,107,86,159,"r2c2ABA"
2235,327779152,653,411,2273808,138.731421598536,12,16,72,22,11,103,6,62,95,38,89,66,73,"r3c2"
318489,278634845,734,410,4317444,161.460134629768,12,41,18,13,20,29,39,74,72,67,276,18,67,"r2c2AA"
1973,327346141,3083,410,8123340,135.524524524525,12,171,301,228,152,528,66,210,238,139,363,193,494,"r3c2"
100303,156210594,17878,409,44170716,85.5583887313468,12,1038,1061,1384,2235,928,3236,4218,745,1267,405,760,601,"r2c2ABB"
303254,249119488,6321,407,22407516,109.925364128275,12,343,297,352,413,432,496,410,825,554,692,945,562,"r2c2AA"
22221,379593672,57,407,237327,149.638713745271,6,5,27,12,5,3,0,5,0,0,0,0,0,"r3c2"
323688,281268910,753,405,3062160,155.652925329131,12,43,63,26,16,19,67,25,166,66,97,83,82,"r2c2AA"
163227,284300199,3596,405,6734527,101.233025178504,12,289,260,136,412,374,200,525,259,274,337,289,241,"r2c2ABA"
128363,305625221,988,404,3563455,122.362990179246,12,41,47,58,127,100,59,126,68,73,102,104,83,"r2c2ABB"
301152,246016496,5488,403,5339715,59.3466518477355,12,281,310,388,326,288,337,385,759,582,549,899,384,"r2c2AA"
327787,285959612,2253,403,7304913,116.688172901824,12,56,69,52,27,228,180,92,337,157,486,422,147,"r2c2AA"
3143,329438929,73,403,624138,179.556386651323,11,6,8,0,7,6,10,9,8,7,3,7,2,"r3c2"
17633,367435491,162,403,962002,181.236247174077,12,5,24,34,38,3,9,16,2,5,10,12,4,"r3c2"
16942,365054008,103,401,328205,107.39692408377,6,23,22,17,24,11,0,6,0,0,0,0,0,"r3c2"
318827,278815240,2646,400,2672752,71.9526193937436,12,167,211,143,76,175,209,188,245,251,296,476,209,"r2c2AA"
319404,279212205,2919,400,4572857,75.990112501454,12,131,146,136,113,236,121,215,446,164,477,424,310,"r2c2AA"
131216,312120123,1255,400,3421482,119.929965999509,12,73,77,70,105,116,132,171,185,73,78,62,113,"r2c2ABB"
