"cell_5km_scale","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X8","X7","X9","X11","X5","X10","X2","X3","X4","X1","X12","square"
15280589,1880,654,7306309,140.185134020223,12,100,247,243,238,235,198,371,46,35,96,36,35,"r3c2"
11765854,1774,602,7150190,137.242365496459,12,79,55,64,86,543,187,147,183,94,49,145,142,"r2c2ABB"
12054477,5743,598,17751700,143.525787699199,12,319,624,390,198,851,330,357,624,724,197,511,618,"r2c2ABA"
14696309,1559,588,7681481,162.7501377177,12,126,311,264,241,60,61,128,71,64,60,132,41,"r3c2"
15309455,1955,581,3772282,110.874467272139,12,96,302,258,348,257,130,305,24,23,104,62,46,"r3c2"
15222877,905,562,4192727,146.819588892391,12,226,114,206,74,82,39,96,13,3,16,10,26,"r3c2"
12999847,7600,554,28228772,139.132011119216,12,501,493,547,534,774,619,628,669,711,560,680,884,"r3c2"
13108125,3478,547,13550580,152.448979591837,12,161,238,321,83,571,39,260,367,416,212,406,404,"r3c2"
15273372,440,544,1442376,132.194665933462,12,27,28,26,55,43,80,50,7,21,37,19,47,"r3c2"
13570109,1176,543,1887823,108.776894266782,12,55,23,704,14,5,7,66,7,195,22,32,46,"r3c2"
11130542,9762,540,40047651,133.515757783875,12,362,462,552,254,926,533,685,1312,1478,716,1455,1027,"r2c2AA"
11238818,7238,540,29625552,130.930092367526,12,317,300,391,228,683,440,815,787,1034,447,883,913,"r2c2AA"
11361581,11535,528,38811062,129.19751265808,12,627,439,565,814,838,1053,1161,1345,1461,670,1510,1052,"r2c2ABA"
11152191,16034,525,43006356,142.072552005735,12,835,1099,1224,602,1008,1108,951,2204,1989,1291,2065,1658,"r2c2AA"
11246014,7538,525,32629825,142.231184670508,12,239,242,432,161,542,459,324,1238,1383,530,1154,834,"r2c2AA"
11130556,9580,524,34603137,126.71103714201,12,288,352,468,245,936,564,647,1344,1601,625,1345,1165,"r2c2AA"
15186779,252,520,1122717,148.389770023791,11,13,1,68,21,1,21,53,2,5,5,0,62,"r3c2"
7683924,12407,516,9753531,47.7370128916689,12,582,241,325,368,766,767,555,5707,897,1003,650,546,"r2c3"
